dispnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,sidea,revstate,revtype1,revtype2,fatality,fatalpre,hiact,hostlev,orig,version
68,"USA",2,-9,1,1900,9,2,1900,1,0,0,-9,0,0,7,3,1,5
68,"FRN",220,-9,1,1900,9,2,1900,1,0,0,-9,0,0,2,2,1,5
68,"DOM",42,-9,1,1900,9,2,1900,0,0,0,-9,0,0,0,1,1,5
69,"USA",2,25,3,1914,29,11,1916,1,1,3,-9,0,0,16,4,1,5
69,"DOM",42,25,3,1914,29,11,1916,0,0,0,-9,0,0,0,1,1,5
71,"UKG",200,17,1,1850,27,4,1850,1,1,2,-9,0,0,13,4,1,5
71,"GRC",350,17,1,1850,27,4,1850,0,0,0,-9,0,0,0,1,1,5
77,"FRN",220,18,9,1898,4,11,1898,0,0,0,-9,0,0,7,3,1,5
77,"UKG",200,18,9,1898,4,11,1898,1,1,1,-9,0,0,7,3,1,5
78,"AUH",300,17,7,1847,17,1,1848,1,1,2,-9,0,0,7,3,1,5
78,"PAP",327,17,7,1847,17,1,1848,0,0,0,-9,0,0,0,1,1,5
86,"FRN",220,25,3,1907,23,3,1908,1,1,2,-9,-9,-9,14,4,1,5
86,"MOR",600,25,3,1907,23,3,1908,0,0,0,-9,-9,-9,17,4,1,5
86,"SPN",230,8,8,1907,23,3,1908,1,0,0,-9,-9,-9,14,4,0,5
88,"FRN",220,6,7,1870,25,2,1871,1,0,0,-9,6,-9,20,5,1,5
88,"BAD",267,16,7,1870,22,11,1870,0,0,0,-9,6,-9,20,5,0,5
88,"BAV",245,16,7,1870,15,11,1870,0,0,0,-9,6,-9,20,5,0,5
88,"WRT",271,17,7,1870,22,11,1870,0,0,0,-9,6,-9,20,5,0,5
88,"GMY",255,6,7,1870,25,2,1871,0,1,4,-9,6,-9,20,5,1,5
89,"AUH",300,6,1,1823,6,1,1823,1,0,0,-9,0,0,1,2,0,5
89,"GMY",255,6,1,1823,6,1,1823,1,0,0,-9,0,0,1,2,0,5
89,"SPN",230,21,9,1822,13,11,1823,0,0,0,-9,5,-9,20,5,1,5
89,"FRN",220,21,9,1822,13,11,1823,1,1,2,-9,4,-9,20,5,1,5
89,"USR",365,6,1,1823,6,1,1823,1,0,0,-9,0,0,1,2,0,5
91,"TUR",640,22,5,1887,22,5,1887,0,0,0,-9,0,0,0,1,1,5
91,"USR",365,22,5,1887,22,5,1887,1,1,2,-9,0,0,3,2,1,5
92,"GAB",481,18,2,1964,29,2,1964,0,0,0,-9,2,-9,17,4,1,5
92,"FRN",220,18,2,1964,29,2,1964,1,1,3,-9,1,-9,17,4,1,5
95,"HAI",41,-9,10,1909,-9,4,1910,0,0,0,-9,0,0,0,1,1,5
95,"GMY",255,-9,10,1909,-9,4,1910,1,1,2,-9,0,0,7,3,1,5
96,"GRC",350,26,4,1886,7,6,1886,0,0,0,-9,0,0,0,1,1,5
96,"ITA",325,26,4,1886,7,6,1886,1,1,2,-9,0,0,13,4,1,5
96,"AUH",300,26,4,1886,7,6,1886,1,1,2,-9,0,0,13,4,1,5
96,"UKG",200,26,4,1886,7,6,1886,1,1,2,-9,0,0,13,4,1,5
96,"GMY",255,26,4,1886,7,6,1886,1,1,2,-9,0,0,13,4,1,5
96,"USR",365,26,4,1886,7,6,1886,1,1,2,-9,0,0,13,4,1,5
100,"USA",2,13,12,1914,9,9,1915,1,1,2,-9,0,0,16,4,1,5
100,"HAI",41,13,12,1914,9,9,1915,0,0,0,-9,0,0,0,1,1,5
104,"USR",365,-9,3,1880,-9,7,1880,1,0,0,-9,0,0,7,3,1,5
104,"CHN",710,-9,3,1880,-9,7,1880,0,1,1,-9,0,0,7,3,1,5
106,"JPN",740,23,4,1895,1,7,1895,0,0,0,-9,0,0,0,1,1,5
106,"USR",365,23,4,1895,1,7,1895,1,1,2,-9,0,0,7,3,1,5
106,"GMY",255,23,4,1895,23,4,1895,1,1,2,-9,0,0,1,2,1,5
106,"FRN",220,23,4,1895,23,4,1895,1,1,2,-9,0,0,1,2,1,5
108,"ITA",325,7,4,1939,8,4,1939,1,1,1,-9,1,-9,14,4,1,5
108,"ALB",339,7,4,1939,8,4,1939,0,0,0,-9,-9,-9,0,1,1,5
109,"ITA",325,-9,9,1904,-9,10,1904,0,0,0,-9,0,0,0,1,1,5
109,"AUH",300,-9,9,1904,-9,10,1904,1,0,0,-9,0,0,10,3,1,5
111,"ETH",530,22,11,1934,9,5,1936,1,0,0,-9,6,-9,20,5,1,5
111,"ITA",325,22,11,1934,9,5,1936,0,1,1,-9,6,-9,20,5,1,5
111,"UKG",200,22,8,1935,9,5,1936,1,0,0,-9,0,0,7,3,0,5
112,"ITA",325,7,9,1860,29,9,1860,1,1,1,-9,4,-9,20,5,1,5
112,"FRN",220,10,9,1860,29,9,1860,0,0,0,-9,0,0,7,3,0,5
112,"PAP",327,7,9,1860,29,9,1860,0,0,0,-9,5,-9,20,5,1,5
113,"ITA",325,18,9,1860,13,2,1861,1,1,1,-9,5,-9,20,5,1,5
113,"FRN",220,13,11,1860,19,1,1861,0,0,0,-9,0,0,7,3,0,5
113,"SIC",329,18,9,1860,13,2,1861,0,0,0,-9,4,-9,20,5,1,5
114,"TUR",640,12,9,1911,18,10,1911,0,1,2,-9,6,-9,20,5,1,5
114,"ITA",325,12,9,1911,18,10,1911,1,0,0,-9,6,-9,20,5,1,5
115,"FRN",220,22,4,1859,12,7,1859,0,0,0,-9,6,-9,20,5,0,5
115,"GMY",255,24,6,1859,12,7,1859,1,0,0,-9,0,0,10,3,0,5
115,"AUH",300,29,1,1859,12,7,1859,1,0,0,-9,6,-9,20,5,1,5
115,"ITA",325,29,1,1859,12,7,1859,0,1,1,-9,6,-9,20,5,1,5
119,"UKG",200,12,3,1885,22,5,1885,1,0,0,-9,0,0,10,3,1,5
119,"USR",365,12,3,1885,22,5,1885,0,1,1,-9,0,0,7,3,1,5
121,"AUH",300,2,7,1853,2,7,1853,0,0,0,-9,0,0,0,1,1,5
121,"USA",2,2,7,1853,2,7,1853,1,1,2,-9,0,0,7,3,1,5
122,"UKG",200,26,6,1961,28,2,1962,0,0,0,-9,0,0,7,3,0,5
122,"IRN",630,29,6,1961,29,6,1961,0,0,0,-9,0,0,0,1,0,5
122,"EGY",651,10,9,1961,28,2,1962,0,0,0,-9,0,0,7,3,0,5
122,"KUW",690,25,6,1961,28,2,1962,0,0,0,-9,0,0,10,3,1,5
122,"SAU",670,1,7,1961,28,2,1962,0,0,0,-9,0,0,7,3,0,5
122,"IRQ",645,25,6,1961,28,2,1962,1,1,1,-9,0,0,16,4,1,5
122,"TUN",616,10,9,1961,28,2,1962,0,0,0,-9,0,0,7,3,0,5
122,"JOR",663,10,9,1961,28,2,1962,0,0,0,-9,0,0,7,3,0,5
122,"SUD",625,10,9,1961,28,2,1962,0,0,0,-9,0,0,7,3,0,5
123,"ARG",160,-9,4,1845,26,3,1846,0,0,0,-9,-9,-9,17,4,1,5
123,"FRN",220,-9,4,1845,26,3,1846,1,1,2,-9,-9,-9,13,4,1,5
123,"UKG",200,-9,4,1845,26,3,1846,1,1,2,-9,-9,-9,13,4,1,5
125,"EGY",651,14,5,1958,24,10,1958,0,0,0,-9,0,0,0,1,1,5
125,"USA",2,14,5,1958,24,10,1958,1,1,2,-9,0,0,7,3,1,5
125,"USR",365,17,5,1958,24,10,1958,0,0,0,-9,0,0,7,3,0,5
125,"IRQ",645,15,7,1958,24,10,1958,0,0,0,-9,0,0,0,1,0,5
125,"UKG",200,14,7,1958,24,10,1958,1,1,2,-9,0,0,8,3,0,5
126,"TUR",640,-9,1,1853,25,2,1853,0,0,0,-9,0,0,0,1,1,5
126,"USR",365,-9,2,1853,25,2,1853,1,1,2,-9,0,0,7,3,0,5
126,"AUH",300,-9,1,1853,25,2,1853,1,1,2,-9,0,0,7,3,1,5
127,"ITA",325,5,5,1921,5,5,1921,1,0,0,-9,0,0,3,2,0,5
127,"UKG",200,3,3,1921,5,11,1921,1,0,0,-9,0,0,14,4,1,5
127,"FRN",220,3,3,1921,5,11,1921,1,1,2,-9,0,0,14,4,1,5
127,"BEL",211,3,3,1921,5,11,1921,1,0,0,-9,0,0,14,4,1,5
127,"GMY",255,3,3,1921,5,11,1921,0,0,0,-9,0,0,0,1,1,5
128,"ITA",325,11,1,1905,6,12,1905,1,1,2,-9,0,0,14,4,1,5
128,"TUR",640,11,1,1905,6,12,1905,0,0,0,-9,0,0,0,1,1,5
128,"USR",365,11,1,1905,6,12,1905,1,1,2,-9,0,0,14,4,1,5
128,"UKG",200,11,1,1905,6,12,1905,1,1,2,-9,0,0,14,4,1,5
128,"FRN",220,11,1,1905,6,12,1905,1,1,2,-9,0,0,14,4,1,5
128,"AUH",300,11,1,1905,6,12,1905,1,1,2,-9,0,0,14,4,1,5
129,"JPN",740,18,9,1931,31,5,1933,1,1,1,-9,6,-9,20,5,1,5
129,"CHN",710,18,9,1931,31,5,1933,0,0,0,-9,6,-9,20,5,1,5
131,"KOR",730,14,9,1899,-9,4,1900,0,0,0,-9,0,0,0,1,1,5
131,"JPN",740,16,3,1900,-9,4,1900,0,0,0,-9,0,0,10,3,0,5
131,"USR",365,14,9,1899,-9,4,1900,1,1,4,-9,0,0,7,3,1,5
133,"ITA",325,13,1,1923,15,1,1923,0,0,0,-9,-9,-9,7,3,0,5
133,"LIT",368,11,1,1923,15,1,1923,1,1,1,-9,-9,-9,14,4,1,5
133,"UKG",200,13,1,1923,15,1,1923,0,0,0,-9,-9,-9,7,3,0,5
133,"FRN",220,11,1,1923,15,1,1923,0,0,0,-9,-9,-9,17,4,1,5
134,"GMY",255,20,3,1939,23,3,1939,1,1,1,-9,0,0,14,4,1,5
134,"LIT",368,20,3,1939,23,3,1939,0,0,0,-9,0,0,0,1,1,5
135,"UKG",200,31,10,1861,8,4,1862,1,1,3,-9,-9,-9,14,4,1,5
135,"FRN",220,31,10,1861,5,2,1867,1,1,3,-9,6,-9,20,5,1,5
135,"SPN",230,31,10,1861,8,4,1862,1,1,3,-9,-9,-9,14,4,1,5
135,"MEX",70,31,10,1861,5,2,1867,0,0,0,-9,6,-9,20,5,1,5
136,"USA",2,15,7,1913,23,11,1914,1,1,3,-9,2,-9,17,4,1,5
136,"MEX",70,15,7,1913,23,11,1914,0,0,0,-9,4,-9,15,4,1,5
137,"UKG",200,4,5,1831,11,5,1831,1,1,2,-9,0,0,7,3,1,5
137,"POR",235,4,5,1831,11,5,1831,0,0,0,-9,0,0,0,1,1,5
139,"CHN",710,-9,12,1934,2,2,1935,1,0,0,-9,2,-9,17,4,1,5
139,"JPN",740,-9,12,1934,2,2,1935,0,1,1,-9,1,-9,17,4,1,5
141,"AUH",300,14,9,1880,25,11,1880,1,1,2,-9,0,0,7,3,0,5
141,"ITA",325,14,9,1880,25,11,1880,1,1,2,-9,0,0,7,3,0,5
141,"TUR",640,7,6,1880,25,2,1881,0,0,0,-9,0,0,8,3,1,5
141,"USR",365,14,9,1880,25,11,1880,1,1,2,-9,0,0,7,3,0,5
141,"FRN",220,-9,7,1880,25,11,1880,1,1,2,-9,0,0,7,3,0,5
141,"GRC",350,16,6,1880,25,2,1881,1,1,2,-9,0,0,10,3,0,5
141,"GMY",255,14,9,1880,25,11,1880,1,1,2,-9,0,0,7,3,0,5
141,"UKG",200,7,6,1880,25,2,1881,1,1,2,-9,0,0,7,3,1,5
142,"USR",365,18,7,1821,10,8,1821,1,1,2,-9,0,0,7,3,1,5
142,"TUR",640,18,7,1821,10,8,1821,0,0,0,-9,0,0,15,4,1,5
144,"USA",2,9,7,1854,-9,10,1854,1,1,2,-9,0,0,16,4,1,5
144,"UKG",200,9,7,1854,-9,10,1854,0,0,0,-9,0,0,7,3,1,5
145,"CHN",710,5,1,1927,28,3,1927,0,0,0,-9,-9,-9,17,4,1,5
145,"FRN",220,24,1,1927,28,3,1927,1,0,0,-9,0,0,7,3,0,5
145,"POR",235,20,1,1927,28,3,1927,1,0,0,-9,0,0,7,3,0,5
145,"JPN",740,24,1,1927,28,3,1927,1,0,0,-9,0,0,7,3,0,5
145,"UKG",200,5,1,1927,28,3,1927,1,1,2,-9,-9,-9,17,4,1,5
145,"SPN",230,20,1,1927,28,3,1927,1,0,0,-9,0,0,7,3,0,5
145,"ITA",325,8,2,1927,28,3,1927,1,0,0,-9,-9,-9,17,4,0,5
145,"USA",2,24,3,1927,28,3,1927,1,1,2,-9,-9,-9,16,4,0,5
146,"FRN",220,16,8,1827,-9,4,1828,1,1,2,-9,1,-9,13,4,1,5
146,"TUR",640,16,8,1827,-9,4,1828,0,0,0,-9,6,-9,16,4,1,5
146,"UKG",200,16,8,1827,-9,4,1828,1,1,2,-9,1,-9,13,4,1,5
146,"USR",365,16,8,1827,-9,4,1828,1,1,2,-9,1,-9,13,4,1,5
147,"SIC",329,-9,1,1821,24,3,1821,0,0,0,-9,2,-9,17,4,1,5
147,"AUH",300,-9,1,1821,24,3,1821,1,1,3,-9,1,-9,17,4,1,5
148,"CHN",710,22,4,1959,1,8,1960,1,1,2,-9,1,-9,17,4,1,5
148,"NEP",790,22,4,1959,1,8,1960,0,0,0,-9,1,-9,17,4,1,5
149,"GMY",255,18,11,1856,26,5,1857,1,1,1,-9,0,0,10,3,1,5
149,"SWZ",225,18,11,1856,26,5,1857,0,0,0,-9,0,0,10,3,1,5
151,"USA",2,2,5,1926,23,9,1926,1,1,3,-9,0,0,14,4,1,5
151,"NIC",93,2,5,1926,23,9,1926,0,0,0,-9,0,0,0,1,1,5
152,"FRN",220,-9,12,1896,14,6,1898,1,1,1,-9,0,0,17,4,1,5
152,"UKG",200,-9,12,1896,14,6,1898,0,1,1,-9,0,0,17,4,1,5
153,"USR",365,22,6,1833,10,7,1833,0,0,0,-9,0,0,0,1,1,5
153,"TUR",640,22,6,1833,10,7,1833,0,0,0,-9,0,0,0,1,1,5
153,"UKG",200,22,6,1833,10,7,1833,1,1,2,-9,0,0,7,3,1,5
153,"FRN",220,22,6,1833,10,7,1833,1,1,2,-9,0,0,7,3,1,5
154,"GMY",255,26,9,1850,29,11,1850,1,1,2,-9,-9,-9,14,4,1,5
154,"WRT",271,11,10,1850,29,11,1850,0,0,0,-9,-9,-9,16,4,0,5
154,"HSE",273,26,9,1850,29,11,1850,0,0,0,-9,0,0,0,1,1,5
154,"BAV",245,11,10,1850,29,11,1850,0,0,0,-9,-9,-9,16,4,0,5
154,"FRN",220,8,11,1850,29,11,1850,0,0,0,-9,0,0,7,3,0,5
154,"AUH",300,26,9,1850,29,11,1850,0,0,0,-9,-9,-9,17,4,1,5
154,"USR",365,28,10,1850,29,11,1850,0,0,0,-9,0,0,8,3,0,5
156,"TUR",640,-9,2,1906,12,5,1906,1,1,1,-9,0,0,14,4,1,5
156,"UKG",200,-9,2,1906,12,5,1906,0,0,0,-9,0,0,7,3,1,5
157,"CHN",710,7,7,1937,7,12,1941,0,0,0,-9,6,-9,21,5,1,5
157,"JPN",740,7,7,1937,7,12,1941,1,1,1,-9,6,-9,21,5,1,5
158,"USA",2,28,2,1921,9,9,1921,1,0,0,-9,0,0,7,3,0,5
158,"COS",94,21,2,1921,9,9,1921,1,1,1,-9,-9,-9,17,4,1,5
158,"PAN",95,21,2,1921,9,9,1921,0,1,1,-9,-9,-9,17,4,1,5
159,"USA",2,2,11,1903,25,1,1904,1,1,4,-9,0,0,13,4,1,5
159,"COL",100,2,11,1903,25,1,1904,0,0,0,-9,0,0,1,2,1,5
160,"MEX",70,21,3,1838,9,3,1839,0,0,0,-9,2,-9,16,4,1,5
160,"FRN",220,21,3,1838,9,3,1839,1,1,2,-9,1,-9,13,4,1,5
164,"UKG",200,12,6,1904,28,6,1904,1,0,0,-9,0,0,7,3,0,5
164,"FRN",220,1,6,1904,28,6,1904,1,0,0,-9,0,0,7,3,0,5
164,"USA",2,31,5,1904,28,6,1904,1,1,2,-9,0,0,7,3,1,5
