"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
1996,NA,"Average",2,2430,3,3,1,7,4.159,356400,"CROZET"
1993,1999,"Average",2,2088,3,3,0,6,30.053,550800,"CROZET"
2003,NA,"Average",2.3,2664,4,3,1,9,2,476500,"CROZET"
2007,NA,"Average",1.5,4878,4,3,1,9,21,1004400,"CROZET"
2002,NA,"Average",1.3,1728,2,2,0,6,11,406000,"CROZET"
1986,1999,"Fair",1,1672,1,1,0,2,2,1e+05,"CROZET"
1960,NA,"Average",1,1228,3,1,0,5,16.948,170100,"CROZET"
1957,NA,"Fair",1,1247,3,1,0,6,15.449,174800,"CROZET"
1981,NA,"Average",1.3,2035,2,2,0,4,4.473,334100,"CROZET"
1997,NA,"Average",1,1272,2,2,0,5,3.02,103100,"CROZET"
2006,NA,"Average",2.5,2237,4,2,1,6,2.058,283900,"CROZET"
1988,NA,"Average",1,3073,3,4,0,6,203.25,589400,"CROZET"
1997,NA,"Average",1,2016,3,2,0,6,10.02,300100,"CROZET"
2006,NA,"Average",1,1274,3,2,0,6,30.54,243300,"CROZET"
1840,NA,"Fair",1.3,1378,1,1,0,3,1,85700,"CROZET"
1754,NA,"Very Poor",2,1280,2,1,0,5,21.44,163600,"CROZET"
2004,NA,"Average",1,864,2,1,0,4,261.711,746500,"CROZET"
1990,NA,"Average",1.7,1547,4,2,0,8,3.6,327600,"CROZET"
1990,NA,"Average",2,1200,2,1,0,4,25.016,292300,"CROZET"
1978,NA,"Average",1.3,1859,3,2,0,5,27.191,543600,"CROZET"
1978,NA,"Average",1,1500,3,3,0,6,21.489,420200,"CROZET"
1912,1996,"Average",2,2810,4,3,1,9,14.969,753000,"CROZET"
1987,NA,"Average",1.3,3120,2,2,0,6,5.007,532300,"CROZET"
1985,NA,"Average",1.5,1512,2,2,0,4,4.261,382700,"CROZET"
1989,NA,"Average",1.3,3019,4,3,0,7,22.978,1142800,"CROZET"
1958,2015,"Excellent",1.7,1936,2,2,0,8,7.733,427000,"CROZET"
1993,NA,"Average",1,1242,3,2,0,5,2.387,220200,"CROZET"
2019,NA,"Average",1.5,1645,3,2,1,6,6,413200,"CROZET"
1983,1991,"Average",1,1243,1,2,0,3,11.217,345300,"CROZET"
1982,1991,"Average",1.5,1641,3,2,0,9,15.005,404800,"CROZET"
1978,2007,"Average",1.3,2600,3,2,1,10,5,520800,"CROZET"
1977,NA,"Average",1,1376,3,2,0,6,5,275800,"CROZET"
1979,NA,"Average",2,1584,3,1,1,6,15,367400,"CROZET"
1979,NA,"Average",1,864,3,1,1,5,3.631,216300,"CROZET"
1990,NA,"Average",1.3,3431,4,3,1,8,38,912100,"CROZET"
1982,1998,"Good",1,1981,3,3,0,5,21,478300,"CROZET"
1997,NA,"Average",1.5,1197,2,2,0,4,2,236900,"CROZET"
1977,1994,"Average",2,2726,5,2,0,8,2.462,343800,"CROZET"
1984,NA,"Average",1.3,1038,2,2,0,5,23,537600,"CROZET"
1982,NA,"Average",1,942,3,1,0,5,3.16,146700,"CROZET"
1998,NA,"Average",2,2809,4,2,1,11,24,636600,"CROZET"
1987,NA,"Average",1,1408,3,2,0,7,22.2,494200,"CROZET"
1956,1999,"Average",1,720,2,1,0,4,1.02,131100,"EARLYSVILLE"
2000,NA,"Average",2.3,2192,4,3,1,10,2.67,438100,"EARLYSVILLE"
2000,NA,"Average",1.5,2120,3,2,1,7,2.678,356600,"EARLYSVILLE"
2014,NA,"Average",1,1680,3,2,0,6,4.038,225600,"EARLYSVILLE"
1994,NA,"Average",1,2512,3,2,0,7,5.5,470400,"EARLYSVILLE"
1958,NA,"Average",1,930,2,1,0,4,124.05,1093600,"EARLYSVILLE"
1963,NA,"Average",1,976,3,1,0,5,5.93,256800,"EARLYSVILLE"
2010,NA,"Average",1,1400,3,2,0,6,2.51,303200,"EARLYSVILLE"
1999,NA,"Average",1,1402,3,2,0,5,10.301,346800,"EARLYSVILLE"
1970,NA,"Average",1.9,2179,5,2,1,8,2.609,302300,"EARLYSVILLE"
1982,NA,"Average",1.3,4195,3,3,1,7,52.248,622700,"EARLYSVILLE"
1974,NA,"Average",1,960,3,1,0,5,2.002,160700,"EARLYSVILLE"
1977,NA,"Average",1,1144,3,1,0,5,2.01,124200,"EARLYSVILLE"
1988,NA,"Average",1.7,1968,3,2,1,7,4.874,423500,"EARLYSVILLE"
1980,2018,"Excellent",1.16,1792,3,2,0,5,3.256,485100,"EARLYSVILLE"
1981,NA,"Average",1,1050,3,2,0,5,4.03,283100,"EARLYSVILLE"
1983,NA,"Average",1,1388,3,1,1,7,3.836,323900,"EARLYSVILLE"
1999,NA,"Average",2.3,2776,3,3,0,12,4.488,438900,"EARLYSVILLE"
1992,NA,"Average",1.7,2286,4,2,0,7,3.551,356500,"EARLYSVILLE"
1983,1992,"Average",1.5,2642,4,3,0,7,4.211,477400,"EARLYSVILLE"
1990,NA,"Average",2,2352,3,2,1,6,3.774,383100,"EARLYSVILLE"
1985,NA,"Average",1.5,1873,3,2,0,7,4.089,425400,"EARLYSVILLE"
1981,NA,"Average",1.3,1247,3,2,0,5,2.837,310200,"EARLYSVILLE"
1984,NA,"Average",2.3,1339,2,1,0,5,1.405,216000,"EARLYSVILLE"
1992,NA,"Average",1,1296,3,3,0,7,1.412,370900,"EARLYSVILLE"
1991,NA,"Average",1.7,1952,3,2,1,6,1.423,294700,"EARLYSVILLE"
1986,1999,"Good",2,1664,3,2,1,6,1.413,294400,"EARLYSVILLE"
1981,NA,"Average",1.3,1560,2,2,0,6,1.38,313400,"EARLYSVILLE"
1992,NA,"Average",1.7,1843,3,2,0,5,1.422,292400,"EARLYSVILLE"
1985,NA,"Average",1,1288,3,2,0,7,3.101,319600,"EARLYSVILLE"
1988,NA,"Average",1.5,2164,3,1,0,8,3.163,428000,"EARLYSVILLE"
1989,NA,"Average",1.3,1720,3,4,0,6,3.777,408900,"EARLYSVILLE"
1989,NA,"Average",1.5,1576,3,3,0,6,4.009,398700,"EARLYSVILLE"
1995,NA,"Average",1.3,3878,4,3,1,9,4.101,660300,"EARLYSVILLE"
1989,NA,"Average",1.5,2012,3,2,0,6,5.001,541400,"EARLYSVILLE"
1990,NA,"Average",1.3,2112,4,3,1,6,5.464,435500,"EARLYSVILLE"
1984,NA,"Average",1,1469,2,1,1,6,4.01,336600,"EARLYSVILLE"
1988,NA,"Good",1,1645,3,3,0,8,2,466300,"EARLYSVILLE"
2017,NA,"Average",1,1873,2,1,1,5,7.94,506400,"EARLYSVILLE"
1967,NA,"Fair",1,1400,3,2,0,5,2.15,239100,"EARLYSVILLE"
2008,NA,"Average",1,2220,3,2,1,6,2,328700,"EARLYSVILLE"
1935,NA,"Average",1.3,1750,3,2,0,8,2.02,220200,"EARLYSVILLE"
1957,NA,"Fair",1,1567,4,2,0,10,6.16,303800,"EARLYSVILLE"
1982,NA,"Fair",1,1470,3,2,0,5,2.008,238600,"EARLYSVILLE"
1981,NA,"Fair",1,1456,3,2,0,7,2.154,226000,"EARLYSVILLE"
2002,NA,"Average",1,1650,3,2,0,5,2.28,269900,"EARLYSVILLE"
1955,NA,"Fair",1.3,1688,3,1,0,6,0.87,162200,"EARLYSVILLE"
1754,1989,"Average",1.3,2066,3,2,0,6,2.25,261500,"EARLYSVILLE"
1929,1986,"Fair",1,824,1,1,0,5,4,173800,"EARLYSVILLE"
1996,NA,"Average",1,1122,3,1,0,5,4.163,195400,"EARLYSVILLE"
1959,NA,"Poor",1,1129,2,1,0,4,0.79,118400,"EARLYSVILLE"
2001,NA,"Average",1.7,2930,3,2,1,9,16.562,599200,"EARLYSVILLE"
1963,2004,"Good",1,1092,3,2,0,6,0.94,220900,"EARLYSVILLE"
1972,NA,"Average",1,960,3,1,0,5,2.008,152200,"EARLYSVILLE"
1972,NA,"Fair",1,893,3,1,0,5,2.004,139100,"EARLYSVILLE"
1973,NA,"Fair",1,1008,3,1,0,5,2.002,150600,"EARLYSVILLE"
1976,NA,"Fair",1,1010,3,1,0,5,2.005,152800,"EARLYSVILLE"
1976,NA,"Average",1,1568,3,1,0,5,2,187700,"EARLYSVILLE"
2016,NA,"Average",1,1560,3,2,0,6,2.006,246800,"EARLYSVILLE"
2006,NA,"Good",1,1512,3,3,0,7,2,328700,"EARLYSVILLE"
1945,NA,"Average",1.5,1344,3,1,0,6,91.95,555900,"EARLYSVILLE"
1993,NA,"Good",1,1716,2,3,0,4,5.01,403800,"EARLYSVILLE"
1999,NA,"Good",1,1790,3,3,0,6,5.06,344000,"EARLYSVILLE"
1870,NA,"Fair",2,2914,5,1,0,8,2.878,292100,"EARLYSVILLE"
1965,2005,"Good",1.5,2856,3,3,2,7,12.081,695500,"EARLYSVILLE"
1965,NA,"Average",1,1185,3,1,1,6,15.52,360700,"EARLYSVILLE"
1975,NA,"Average",1,1368,3,3,0,6,10.672,391300,"EARLYSVILLE"
1975,2014,"Good",1,1440,3,3,1,7,2.15,319200,"EARLYSVILLE"
1985,NA,"Average",1,5298,5,5,0,15,90.629,1951200,"EARLYSVILLE"
1973,NA,"Average",1,1456,5,2,1,10,3.002,332600,"EARLYSVILLE"
1979,NA,"Average",1.3,2212,4,3,0,6,19.51,871600,"EARLYSVILLE"
1990,NA,"Good",2,2570,3,2,1,7,69.285,1086300,"EARLYSVILLE"
1885,1985,"Good",1.9,2257,2,1,1,7,50.696,989300,"EARLYSVILLE"
1991,NA,"Average",2,1906,2,1,1,5,2.62,209100,"EARLYSVILLE"
2000,NA,"Average",1.5,1980,3,2,1,7,1.027,266400,"EARLYSVILLE"
1812,2007,"Excellent",1.5,1257,3,2,0,6,124.511,418800,"EARLYSVILLE"
1975,2008,"Good",2,5410,4,4,3,12,10.476,2033900,"EARLYSVILLE"
1998,NA,"Good",2,3208,4,3,0,9,1.74,491800,"EARLYSVILLE"
1962,NA,"Fair",1,756,3,1,0,5,3.8,160800,"EARLYSVILLE"
1970,NA,"Average",1,2075,4,2,1,8,6.79,405400,"EARLYSVILLE"
1850,NA,"Good",2,2312,3,2,1,6,20,461600,"EARLYSVILLE"
1981,NA,"Average",1,1056,3,1,1,6,2.001,220000,"EARLYSVILLE"
1977,2005,"Good",1,1512,3,2,0,8,2.004,324400,"EARLYSVILLE"
1994,NA,"Good",1,2434,3,2,1,9,3.012,562400,"EARLYSVILLE"
1976,NA,"Average",1,1165,4,2,1,10,2.001,259700,"EARLYSVILLE"
1978,NA,"Good",1,1078,4,2,1,8,2.019,255900,"EARLYSVILLE"
1976,NA,"Average",1,1165,3,2,1,8,2.004,247700,"EARLYSVILLE"
1977,NA,"Good",1,1040,3,2,1,6,2.003,258000,"EARLYSVILLE"
1977,NA,"Fair",2,2000,4,2,1,8,2.088,276600,"EARLYSVILLE"
1977,NA,"Average",1,1216,3,2,0,8,2.057,239200,"EARLYSVILLE"
2002,NA,"Average",1,2861,3,2,1,9,83.811,1249000,"EARLYSVILLE"
1994,2004,"Good",1,1793,4,3,0,7,2.2,368900,"EARLYSVILLE"
2000,NA,"Average",2,3092,4,3,1,12,4.633,558100,"EARLYSVILLE"
2000,NA,"Average",2,2466,4,2,1,9,4.812,471800,"EARLYSVILLE"
2001,NA,"Average",2,3061,4,3,1,10,3.707,591100,"EARLYSVILLE"
2002,NA,"Average",1,1926,3,2,1,6,2.411,415600,"EARLYSVILLE"
2001,NA,"Average",1.5,4054,3,3,1,10,3.708,720000,"EARLYSVILLE"
2001,NA,"Average",1.5,3048,4,3,1,9,2.771,530500,"EARLYSVILLE"
2001,NA,"Average",1,2949,3,3,1,8,2.53,586600,"EARLYSVILLE"
2002,NA,"Average",1.9,3099,4,4,0,9,3.876,569300,"EARLYSVILLE"
1900,NA,"Average",1.7,2766,4,2,0,7,3.612,472000,"EARLYSVILLE"
2006,NA,"Average",2,2848,3,4,1,12,5.516,644600,"EARLYSVILLE"
2005,NA,"Average",2,2791,4,3,1,10,5.474,703100,"EARLYSVILLE"
2006,NA,"Average",1.5,4444,4,4,1,11,5.572,975100,"EARLYSVILLE"
1950,NA,"Poor",1,995,3,1,0,6,2,123700,"EARLYSVILLE"
1930,1981,"Average",2,966,2,0,0,4,44.67,756600,"EARLYSVILLE"
1999,NA,"Good",1.5,3103,3,3,1,9,7.03,682400,"EARLYSVILLE"
1997,NA,"Good",1.5,2806,3,2,1,7,22.04,623500,"EARLYSVILLE"
1999,NA,"Good",1.9,2904,4,3,1,8,21.14,678300,"EARLYSVILLE"
1998,NA,"Good",2,2416,3,2,2,10,5.88,538900,"EARLYSVILLE"
1998,NA,"Good",1.5,2698,4,4,1,9,5.2,563200,"EARLYSVILLE"
2002,NA,"Average",1.7,4949,5,5,1,13,21.03,948500,"EARLYSVILLE"
2001,NA,"Average",1,2330,4,4,2,9,5.28,646400,"EARLYSVILLE"
1998,NA,"Good",1,2098,3,3,0,8,5.16,556700,"EARLYSVILLE"
1935,NA,"Average",1.5,1860,4,2,0,7,96.767,1454400,"EARLYSVILLE"
2002,NA,"Average",1.3,2315,2,2,0,5,2.11,388200,"EARLYSVILLE"
1971,NA,"Average",1,1176,2,1,0,6,2.805,127900,"EARLYSVILLE"
1975,NA,"Average",1.4,2499,5,4,1,12,4.4,456600,"EARLYSVILLE"
1959,NA,"Fair",1,840,2,1,0,5,2.386,169200,"EARLYSVILLE"
2001,NA,"Average",1,1296,3,2,0,5,2,202200,"EARLYSVILLE"
2009,NA,"Good",2,4962,4,3,1,10,2.88,840200,"EARLYSVILLE"
1994,NA,"Good",1.7,2744,4,4,1,9,2.76,629300,"EARLYSVILLE"
1998,NA,"Average",2,3538,3,2,1,8,3.383,677900,"EARLYSVILLE"
1994,NA,"Average",1.3,4105,4,5,3,10,4.519,845100,"EARLYSVILLE"
