dispnum,incidnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version
3552,3552002,"IRQ",645,28,12,1992,28,12,1992,0,0,1,-9,0,1,0,1,5
3552,3552003,"USA",2,26,8,1992,26,8,1992,1,1,2,0,7,3,2,0,5
3552,3552003,"UKG",200,26,8,1992,26,8,1992,1,1,2,0,7,3,2,0,5
3552,3552003,"FRN",220,26,8,1992,26,8,1992,1,1,2,0,7,3,2,0,5
3552,3552003,"IRQ",645,26,8,1992,26,8,1992,0,0,2,0,0,1,0,1,5
3552,3552004,"IRQ",645,2,8,1992,2,8,1992,0,0,2,0,0,1,0,1,5
3552,3552004,"KUW",690,2,8,1992,2,8,1992,1,1,2,0,8,3,2,0,5
3552,3552005,"USA",2,3,8,1992,24,8,1992,1,1,2,0,7,3,2,0,5
3552,3552005,"IRQ",645,3,8,1992,24,8,1992,0,0,2,0,0,1,0,1,5
3552,3552005,"KUW",690,3,8,1992,24,8,1992,1,1,2,0,7,3,2,0,5
3552,3552006,"USA",2,4,1,1993,4,1,1993,0,1,0,0,0,1,0,0,5
3552,3552006,"IRQ",645,4,1,1993,4,1,1993,1,0,0,0,7,3,2,0,5
3552,3552007,"USA",2,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,5
3552,3552007,"UKG",200,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,5
3552,3552007,"FRN",220,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,5
3552,3552007,"RUS",365,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,5
3552,3552007,"IRQ",645,6,1,1993,6,1,1993,0,0,0,0,0,1,0,0,5
3552,3552008,"IRQ",645,7,1,1993,9,1,1993,0,0,0,0,0,1,0,0,5
3552,3552008,"KUW",690,7,1,1993,9,1,1993,1,1,0,0,8,3,2,0,5
3552,3552009,"USA",2,10,1,1993,10,1,1993,0,1,0,0,0,1,0,0,5
3552,3552009,"IRQ",645,10,1,1993,10,1,1993,1,0,0,0,8,3,2,0,5
3552,3552010,"USA",2,11,1,1993,11,1,1993,0,1,0,0,0,1,0,0,5
3552,3552010,"IRQ",645,11,1,1993,11,1,1993,1,0,0,0,7,3,2,4,5
3552,3552011,"USA",2,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,5
3552,3552011,"UKG",200,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,5
3552,3552011,"FRN",220,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,5
3552,3552011,"IRQ",645,12,1,1993,12,1,1993,0,0,0,0,0,1,0,0,5
3552,3552012,"USA",2,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,5
3552,3552012,"UKG",200,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,5
3552,3552012,"FRN",220,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,5
3552,3552012,"IRQ",645,13,1,1993,13,1,1993,0,0,1,17,17,4,4,0,5
3552,3552013,"USA",2,13,1,1993,13,1,1993,1,1,0,0,1,2,2,0,5
3552,3552013,"IRQ",645,13,1,1993,13,1,1993,0,0,0,0,0,1,0,0,5
3552,3552014,"USA",2,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,5
3552,3552014,"UKG",200,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,5
3552,3552014,"FRN",220,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,5
3552,3552014,"RUS",365,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,5
3552,3552014,"IRQ",645,14,1,1993,14,1,1993,0,0,0,0,0,1,0,0,5
3552,3552015,"USA",2,15,1,1993,15,1,1993,1,1,0,0,1,2,2,0,5
3552,3552015,"IRQ",645,15,1,1993,15,1,1993,0,0,0,0,0,1,0,0,5
3552,3552016,"USA",2,16,1,1993,16,1,1993,0,1,0,0,0,1,0,0,5
3552,3552016,"IRQ",645,16,1,1993,16,1,1993,1,0,0,0,1,2,2,0,5
3552,3552017,"USA",2,17,1,1993,21,1,1993,1,1,0,0,17,4,2,0,5
3552,3552017,"IRQ",645,17,1,1993,21,1,1993,0,0,-9,-9,17,4,2,0,5
3552,3552018,"USA",2,17,1,1993,17,1,1993,0,1,0,0,17,4,4,0,5
3552,3552018,"IRQ",645,17,1,1993,17,1,1993,1,0,-9,-9,17,4,4,0,5
3552,3552019,"USA",2,17,1,1993,19,1,1993,1,1,0,0,16,4,2,0,5
3552,3552019,"UKG",200,17,1,1993,19,1,1993,1,1,0,0,16,4,2,0,5
3552,3552019,"FRN",220,17,1,1993,19,1,1993,1,1,0,0,16,4,2,0,5
3552,3552019,"IRQ",645,17,1,1993,19,1,1993,0,0,1,-9,0,1,0,0,5
3552,3552020,"IRQ",645,17,1,1993,17,1,1993,1,0,1,1,17,4,2,0,5
3552,3552020,"KUW",690,17,1,1993,17,1,1993,0,1,0,0,17,4,2,0,5
3552,3552021,"USA",2,18,1,1993,18,1,1993,1,1,0,0,16,4,4,0,5
3552,3552021,"UKG",200,18,1,1993,18,1,1993,1,1,0,0,16,4,4,0,5
3552,3552021,"FRN",220,18,1,1993,18,1,1993,1,1,0,0,16,4,4,0,5
3552,3552021,"IRQ",645,18,1,1993,18,1,1993,0,0,-9,-9,0,1,0,0,5
3552,3552022,"USA",2,21,1,1993,21,1,1993,1,1,0,0,16,4,2,0,5
3552,3552022,"FRN",220,21,1,1993,21,1,1993,1,1,0,0,16,4,2,0,5
3552,3552022,"IRQ",645,21,1,1993,21,1,1993,0,0,0,0,0,1,0,0,5
3552,3552023,"USA",2,22,1,1993,22,1,1993,1,1,0,0,16,4,2,0,5
3552,3552023,"IRQ",645,22,1,1993,22,1,1993,0,0,-9,-9,0,1,0,0,5
3552,3552024,"USA",2,23,1,1993,23,1,1993,0,1,0,0,17,4,2,0,5
3552,3552024,"IRQ",645,23,1,1993,23,1,1993,1,0,-9,-9,17,4,2,0,5
3552,3552025,"USA",2,9,4,1993,9,4,1993,0,1,0,0,17,4,2,0,5
3552,3552025,"IRQ",645,9,4,1993,9,4,1993,1,0,-9,-9,17,4,2,0,5
3552,3552026,"USA",2,18,4,1993,18,4,1993,1,1,0,0,16,4,2,0,5
3552,3552026,"IRQ",645,18,4,1993,18,4,1993,0,0,-9,-9,0,1,0,0,5
3552,3552027,"USA",2,19,4,1993,19,4,1993,1,1,0,0,16,4,2,0,5
3552,3552027,"IRQ",645,19,4,1993,19,4,1993,0,0,-9,-9,0,1,0,0,5
3552,3552028,"USA",2,29,6,1993,29,6,1993,1,1,0,0,7,3,2,3,5
3552,3552028,"IRQ",645,29,6,1993,29,6,1993,0,0,0,0,0,1,0,0,5
3552,3552029,"USA",2,29,6,1993,29,6,1993,1,1,0,0,16,4,2,0,5
3552,3552029,"IRQ",645,29,6,1993,29,6,1993,0,0,-9,-9,0,1,0,0,5
3552,3552030,"IRQ",645,1,7,1993,4,7,1993,1,0,0,0,16,4,2,0,5
3552,3552030,"SAU",670,1,7,1993,4,7,1993,0,1,0,0,0,1,0,0,5
3552,3552031,"USA",2,24,7,1993,24,7,1993,1,1,0,0,16,4,2,0,5
3552,3552031,"IRQ",645,24,7,1993,24,7,1993,0,0,-9,-9,0,1,0,0,5
3552,3552032,"USA",2,19,8,1993,19,8,1993,0,1,0,0,17,4,2,0,5
3552,3552032,"IRQ",645,19,8,1993,19,8,1993,1,0,-9,-9,17,4,2,0,5
3552,3552033,"USA",2,23,12,1993,23,12,1993,0,1,0,0,17,4,2,0,5
3552,3552033,"IRQ",645,23,12,1993,23,12,1993,1,0,0,0,17,4,2,0,5
3555,3555001,"CRO",344,20,1,1992,20,1,1992,1,1,1,-9,17,4,1,0,5
3555,3555001,"YUG",345,20,1,1992,20,1,1992,0,0,1,-9,17,4,1,0,5
3555,3555002,"CRO",344,23,1,1992,23,1,1992,0,1,2,0,0,1,0,0,5
3555,3555002,"YUG",345,23,1,1992,23,1,1992,1,0,2,0,12,3,1,0,5
3555,3555003,"CRO",344,25,2,1992,29,2,1992,0,1,3,-9,17,4,1,0,5
3555,3555003,"YUG",345,25,2,1992,29,2,1992,1,0,3,-9,17,4,1,0,5
3555,3555004,"CRO",344,6,3,1992,8,4,1992,0,1,4,-9,17,4,1,0,5
3555,3555004,"YUG",345,6,3,1992,8,4,1992,1,0,4,-9,17,4,1,0,5
3555,3555005,"CRO",344,11,4,1992,11,4,1992,0,1,4,350,17,4,1,0,5
3555,3555005,"YUG",345,11,4,1992,11,4,1992,1,0,-9,-9,17,4,1,0,5
3555,3555006,"CRO",344,21,4,1992,21,4,1992,0,1,1,1,0,1,0,0,5
3555,3555006,"YUG",345,21,4,1992,21,4,1992,1,0,0,0,16,4,1,0,5
3555,3555007,"CRO",344,23,4,1992,23,4,1992,1,1,0,0,17,4,1,0,5
3555,3555007,"YUG",345,23,4,1992,23,4,1992,0,0,-9,-9,17,4,1,0,5
3555,3555008,"CRO",344,24,4,1992,24,4,1992,0,1,-9,-9,17,4,1,0,5
3555,3555008,"YUG",345,24,4,1992,24,4,1992,1,0,2,-9,17,4,1,0,5
3555,3555009,"CRO",344,10,7,1992,10,7,1992,1,1,0,0,11,3,1,0,5
3555,3555009,"YUG",345,10,7,1992,10,7,1992,0,0,0,0,0,1,0,0,5
3556,3556001,"CRO",344,20,10,1992,28,10,1992,1,1,3,-9,17,4,1,0,5
3556,3556001,"BOS",346,20,10,1992,28,10,1992,0,0,3,-9,17,4,1,0,5
3556,3556002,"CRO",344,26,10,1992,26,10,1992,0,1,0,0,0,1,0,0,5
3556,3556002,"BOS",346,26,10,1992,26,10,1992,1,0,0,0,11,3,1,2,5
3557,3557001,"YUG",345,6,4,1992,6,4,1992,1,1,0,0,7,3,2,0,5
3557,3557001,"BOS",346,6,4,1992,6,4,1992,0,0,0,0,0,1,0,0,5
3557,3557002,"YUG",345,14,4,1992,14,4,1992,1,1,-9,-9,17,4,1,0,5
3557,3557002,"BOS",346,14,4,1992,14,4,1992,0,0,-9,-9,17,4,1,0,5
3557,3557003,"YUG",345,20,4,1992,22,4,1992,1,1,-9,-9,17,4,1,0,5
3557,3557003,"BOS",346,20,4,1992,22,4,1992,0,0,-9,-9,17,4,1,0,5
3557,3557004,"YUG",345,2,5,1992,2,5,1992,1,1,-9,-9,17,4,1,0,5
3557,3557004,"BOS",346,2,5,1992,2,5,1992,0,0,-9,-9,17,4,1,0,5
3557,3557005,"YUG",345,8,5,1992,8,5,1992,1,1,0,0,16,4,1,0,5
3557,3557005,"BOS",346,8,5,1992,8,5,1992,0,0,0,0,0,1,0,0,5
3557,3557006,"YUG",345,11,5,1992,11,5,1992,0,1,-9,-9,17,4,1,0,5
3557,3557006,"BOS",346,11,5,1992,11,5,1992,1,0,-9,-9,17,4,1,0,5
3557,3557007,"YUG",345,28,5,1992,28,5,1992,0,1,1,1,17,4,1,0,5
3557,3557007,"BOS",346,28,5,1992,28,5,1992,1,0,-9,-9,17,4,1,0,5
3557,3557008,"YUG",345,25,8,1992,25,8,1992,1,1,0,0,16,4,1,0,5
3557,3557008,"BOS",346,25,8,1992,25,8,1992,0,0,-9,-9,0,1,0,0,5
3557,3557009,"YUG",345,15,12,1992,15,12,1992,1,1,0,0,16,4,1,0,5
3557,3557009,"BOS",346,15,12,1992,15,12,1992,0,0,-9,-9,0,1,0,0,5
3557,3557010,"YUG",345,17,1,1993,18,1,1993,1,1,-9,-9,17,4,1,0,5
3557,3557010,"BOS",346,17,1,1993,18,1,1993,0,0,-9,-9,17,4,1,0,5
3557,3557011,"YUG",345,25,1,1993,25,1,1993,1,1,0,0,8,3,1,0,5
3557,3557011,"BOS",346,25,1,1993,25,1,1993,0,0,0,0,0,1,0,0,5
3561,3561001,"RUS",365,13,6,1992,13,6,1992,1,1,3,3,17,4,2,0,5
3561,3561001,"GRG",372,13,6,1992,13,6,1992,0,0,3,12,17,4,2,0,5
3561,3561002,"RUS",365,18,6,1992,18,6,1992,1,1,2,0,16,4,2,0,5
3561,3561002,"GRG",372,18,6,1992,18,6,1992,0,0,3,-9,0,1,0,0,5
3561,3561003,"RUS",365,4,10,1992,4,10,1992,1,1,2,0,1,2,2,0,5
3561,3561003,"GRG",372,4,10,1992,4,10,1992,0,0,2,0,0,1,0,0,5
3561,3561004,"RUS",365,5,10,1992,5,10,1992,0,1,2,0,0,1,0,0,5
3561,3561004,"GRG",372,5,10,1992,5,10,1992,1,0,2,0,11,3,2,0,5
3561,3561005,"RUS",365,5,10,1992,5,10,1992,1,1,2,0,7,3,2,0,5
3561,3561005,"GRG",372,5,10,1992,5,10,1992,0,0,2,0,0,1,0,0,5
3561,3561006,"RUS",365,4,12,1992,4,12,1992,1,1,2,0,16,4,2,0,5
3561,3561006,"GRG",372,4,12,1992,4,12,1992,0,0,2,0,0,1,0,0,5
3561,3561007,"RUS",365,6,12,1992,6,12,1992,0,1,1,-9,17,4,2,0,5
3561,3561007,"GRG",372,6,12,1992,6,12,1992,1,0,2,0,17,4,2,0,5
3561,3561008,"RUS",365,14,12,1992,14,12,1992,0,1,3,-9,0,1,0,0,5
3561,3561008,"GRG",372,14,12,1992,14,12,1992,1,0,2,0,16,4,2,0,5
3561,3561009,"RUS",365,17,12,1992,17,12,1992,1,1,2,0,8,3,2,0,5
3561,3561009,"GRG",372,17,12,1992,17,12,1992,0,0,2,0,0,1,0,0,5
3561,3561010,"RUS",365,20,2,1993,20,2,1993,1,1,-9,-9,16,4,2,1,5
3561,3561010,"GRG",372,20,2,1993,20,2,1993,0,0,-9,-9,0,1,0,0,5
3561,3561011,"RUS",365,20,2,1993,20,2,1993,0,1,-9,-9,0,1,0,0,5
3561,3561011,"GRG",372,20,2,1993,20,2,1993,1,0,-9,-9,16,4,1,0,5
3561,3561012,"RUS",365,13,3,1993,13,3,1993,1,1,-9,-9,16,4,2,0,5
3561,3561012,"GRG",372,13,3,1993,13,3,1993,0,0,-9,-9,0,1,0,0,5
3561,3561013,"RUS",365,16,3,1993,18,3,1993,0,1,0,0,0,1,0,0,5
3561,3561013,"GRG",372,16,3,1993,18,3,1993,1,0,0,0,10,3,2,1,5
3561,3561014,"RUS",365,16,3,1993,16,3,1993,1,1,0,0,8,3,2,0,5
3561,3561014,"GRG",372,16,3,1993,16,3,1993,0,0,0,0,0,1,0,0,5
3561,3561015,"RUS",365,16,3,1993,16,3,1993,1,1,-9,-9,16,4,2,0,5
3561,3561015,"GRG",372,16,3,1993,16,3,1993,0,0,-9,-9,0,1,0,0,5
3561,3561016,"RUS",365,17,3,1993,17,3,1993,0,1,-9,-9,0,1,0,0,5
3561,3561016,"GRG",372,17,3,1993,17,3,1993,1,0,-9,-9,16,4,2,1,5
3561,3561017,"RUS",365,18,3,1993,18,3,1993,1,1,0,0,1,2,2,0,5
3561,3561017,"GRG",372,18,3,1993,18,3,1993,0,0,0,0,0,1,0,0,5
3561,3561018,"RUS",365,19,3,1993,19,3,1993,1,1,0,0,12,3,2,1,5
3561,3561018,"GRG",372,19,3,1993,19,3,1993,0,0,0,0,0,1,0,0,5
3561,3561019,"RUS",365,19,3,1993,19,3,1993,0,1,1,1,0,1,0,0,5
3561,3561019,"GRG",372,19,3,1993,19,3,1993,1,0,0,0,16,4,2,0,5
3561,3561020,"RUS",365,1,4,1993,1,4,1993,0,1,-9,-9,17,4,2,0,5
3561,3561020,"GRG",372,1,4,1993,1,4,1993,1,0,-9,-9,17,4,2,0,5
3561,3561021,"RUS",365,2,4,1993,2,4,1993,1,1,0,0,1,2,2,0,5
3561,3561021,"GRG",372,2,4,1993,2,4,1993,0,0,0,0,0,1,0,0,5
3561,3561022,"RUS",365,1,7,1993,1,7,1993,1,1,1,10,17,4,2,0,5
3561,3561022,"GRG",372,1,7,1993,1,7,1993,0,0,-9,-9,17,4,2,0,5
3561,3561023,"RUS",365,2,7,1993,2,7,1993,1,1,0,0,12,3,2,0,5
3561,3561023,"GRG",372,2,7,1993,2,7,1993,0,0,0,0,0,1,0,0,5
3561,3561024,"RUS",365,3,7,1993,3,7,1993,1,1,-9,-9,16,4,2,0,5
3561,3561024,"GRG",372,3,7,1993,3,7,1993,0,0,-9,-9,0,1,0,0,5
3561,3561025,"RUS",365,26,10,1993,26,10,1993,0,1,0,0,0,1,0,0,5
3561,3561025,"GRG",372,26,10,1993,26,10,1993,1,0,0,0,16,4,2,0,5
3561,3561026,"RUS",365,26,10,1993,26,10,1993,1,1,0,0,7,3,2,0,5
3561,3561026,"GRG",372,26,10,1993,26,10,1993,0,0,0,0,0,1,0,0,5
3564,3564001,"ARM",371,26,1,1992,26,1,1992,1,1,-9,-9,17,4,1,0,5
3564,3564001,"AZE",373,26,1,1992,26,1,1992,0,0,2,60,17,4,1,0,5
3564,3564002,"ARM",371,2,2,1992,23,2,1992,1,1,-9,-9,17,4,1,0,5
3564,3564002,"AZE",373,2,2,1992,23,2,1992,0,0,1,9,17,4,1,0,5
3564,3564003,"ARM",371,26,2,1992,7,3,1992,1,1,2,100,17,4,1,0,5
3564,3564003,"AZE",373,26,2,1992,7,3,1992,0,0,2,100,17,4,1,0,5
3564,3564004,"ARM",371,23,4,1992,26,4,1992,1,1,1,10,17,4,1,0,5
3564,3564004,"AZE",373,23,4,1992,26,4,1992,0,0,-9,-9,17,4,1,0,5
3564,3564005,"ARM",371,4,5,1992,4,5,1992,1,1,2,40,17,4,1,0,5
3564,3564005,"AZE",373,4,5,1992,4,5,1992,0,0,1,3,17,4,1,0,5
3564,3564006,"ARM",371,8,5,1992,8,5,1992,1,1,-9,-9,17,4,1,0,5
3564,3564006,"AZE",373,8,5,1992,8,5,1992,0,0,-9,-9,17,4,1,0,5
3564,3564007,"ARM",371,10,5,1992,10,5,1992,1,1,1,12,17,4,1,0,5
3564,3564007,"AZE",373,10,5,1992,10,5,1992,0,0,3,108,17,4,1,0,5
3564,3564008,"ARM",371,17,5,1992,21,5,1992,1,1,1,10,17,4,1,0,5
3564,3564008,"AZE",373,17,5,1992,21,5,1992,0,0,1,11,17,4,1,0,5
3564,3564009,"ARM",371,13,6,1992,13,6,1992,1,1,1,15,17,4,1,0,5
3564,3564009,"AZE",373,13,6,1992,13,6,1992,0,0,2,50,17,4,1,0,5
3564,3564010,"ARM",371,17,6,1992,17,6,1992,1,1,1,20,17,4,1,0,5
3564,3564010,"AZE",373,17,6,1992,17,6,1992,0,0,3,200,17,4,1,0,5
3564,3564011,"ARM",371,21,7,1992,22,7,1992,1,1,1,8,17,4,1,0,5
3564,3564011,"AZE",373,21,7,1992,22,7,1992,0,0,2,80,17,4,1,0,5
3564,3564012,"ARM",371,28,7,1992,28,7,1992,1,1,1,2,17,4,1,0,5
3564,3564012,"AZE",373,28,7,1992,28,7,1992,0,0,2,30,17,4,1,0,5
3564,3564013,"ARM",371,8,8,1992,8,8,1992,1,1,1,18,17,4,1,0,5
3564,3564013,"AZE",373,8,8,1992,8,8,1992,0,0,-9,-9,17,4,1,0,5
3564,3564014,"ARM",371,23,11,1992,23,11,1992,1,1,1,2,17,4,1,0,5
3564,3564014,"AZE",373,23,11,1992,23,11,1992,0,0,0,0,17,4,1,0,5
3564,3564015,"ARM",371,23,12,1992,23,12,1992,1,1,3,170,17,4,1,0,5
3564,3564015,"AZE",373,23,12,1992,23,12,1992,0,0,-9,-9,17,4,1,0,5
3564,3564016,"ARM",371,4,1,1993,4,1,1993,1,1,1,6,17,4,1,0,5
3564,3564016,"AZE",373,4,1,1993,4,1,1993,0,0,-9,-9,17,4,1,0,5
3564,3564017,"RUS",365,-9,2,1993,-9,2,1993,1,1,-9,-9,17,4,1,0,5
3564,3564017,"AZE",373,-9,2,1993,-9,2,1993,0,0,-9,-9,17,4,1,0,5
3564,3564018,"ARM",371,-9,4,1993,-9,4,1993,0,1,0,0,0,1,0,0,5
3564,3564018,"TUR",640,-9,4,1993,-9,4,1993,1,0,0,0,7,3,2,0,5
3564,3564019,"ARM",371,-9,4,1993,-9,4,1993,0,1,0,0,0,1,0,0,5
3564,3564019,"TUR",640,-9,4,1993,-9,4,1993,1,0,0,0,11,3,2,0,5
3564,3564020,"ARM",371,5,4,1993,7,4,1993,1,1,-9,-9,17,4,1,0,5
3564,3564020,"AZE",373,5,4,1993,7,4,1993,0,0,-9,-9,17,4,1,0,5
3564,3564021,"ARM",371,7,4,1993,7,4,1993,0,1,0,0,0,1,0,0,5
3564,3564021,"TUR",640,7,4,1993,7,4,1993,1,0,0,0,11,3,2,0,5
3564,3564022,"ARM",371,17,4,1993,17,4,1993,0,1,0,0,0,1,0,0,5
3564,3564022,"TUR",640,17,4,1993,17,4,1993,1,0,0,0,12,3,2,0,5
3564,3564023,"ARM",371,17,4,1993,17,4,1993,1,1,0,0,1,2,2,0,5
3564,3564023,"TUR",640,17,4,1993,17,4,1993,0,0,0,0,0,1,0,0,5
3564,3564025,"ARM",371,18,8,1993,18,8,1993,0,1,-9,-9,0,1,0,0,5
3564,3564025,"AZE",373,18,8,1993,18,8,1993,1,0,0,0,16,4,1,0,5
3564,3564026,"ARM",371,-9,9,1993,-9,9,1993,0,1,0,0,0,1,0,0,5
3564,3564026,"IRN",630,-9,9,1993,-9,9,1993,1,0,0,0,7,3,2,0,5
3564,3564027,"ARM",371,3,9,1993,3,9,1993,0,1,0,0,0,1,0,0,5
3564,3564027,"TUR",640,3,9,1993,3,9,1993,1,0,0,0,8,3,2,0,5
3564,3564028,"ARM",371,3,9,1993,3,9,1993,0,1,0,0,0,1,0,0,5
3564,3564028,"TUR",640,3,9,1993,3,9,1993,1,0,0,0,11,3,2,0,5
3564,3564029,"ARM",371,3,9,1993,3,9,1993,0,1,0,0,0,1,0,0,5
3564,3564029,"TUR",640,3,9,1993,3,9,1993,1,0,0,0,8,3,2,0,5
3564,3564030,"ARM",371,3,9,1993,3,9,1993,0,1,0,0,0,1,0,0,5
3564,3564030,"TUR",640,3,9,1993,3,9,1993,1,0,0,0,7,3,2,0,5
3564,3564031,"ARM",371,3,9,1993,3,9,1993,0,1,0,0,0,1,0,0,5
3564,3564031,"TUR",640,3,9,1993,3,9,1993,1,0,0,0,11,3,2,0,5
3564,3564032,"ARM",371,3,9,1993,-9,9,1993,0,1,0,0,0,1,0,0,5
3564,3564032,"TUR",640,3,9,1993,-9,9,1993,1,0,0,0,7,3,2,0,5
3564,3564033,"ARM",371,4,9,1993,4,9,1993,0,1,0,0,0,1,0,0,5
3564,3564033,"TUR",640,4,9,1993,4,9,1993,1,0,0,0,4,2,2,0,5
3564,3564036,"RUS",365,7,9,1993,7,9,1993,0,1,-9,-9,0,1,0,0,5
3564,3564036,"TUR",640,7,9,1993,7,9,1993,1,0,0,0,16,4,2,0,5
3568,3568001,"IRQ",645,7,10,1992,7,10,1992,1,1,2,0,17,4,1,0,5
3568,3568001,"KUW",690,7,10,1992,7,10,1992,0,0,2,0,17,4,1,0,5
3568,3568002,"IRQ",645,5,1,1993,5,1,1993,1,1,0,0,16,4,1,0,5
3568,3568002,"KUW",690,5,1,1993,5,1,1993,0,0,0,0,0,1,0,0,5
3568,3568003,"IRQ",645,7,1,1993,7,1,1993,0,1,0,0,0,1,0,0,5
3568,3568003,"KUW",690,7,1,1993,7,1,1993,1,0,0,0,1,2,2,1,5
3568,3568004,"IRQ",645,10,1,1993,13,1,1993,1,1,0,0,12,3,1,0,5
