dispnum,stday,stmon,styear,endday,endmon,endyear,outcome,settle,fatality,fatalpre,maxdur,mindur,hiact,hostlev,recip,numa,numb,ongo2014,version
115,29,1,1859,12,7,1859,2,1,6,-9,165,165,20,5,1,2,2,0,5
119,12,3,1885,22,5,1885,6,1,0,0,72,72,10,3,1,1,1,0,5
121,2,7,1853,2,7,1853,5,3,0,0,1,1,7,3,0,1,1,0,5
122,25,6,1961,28,2,1962,5,3,0,0,249,249,16,4,1,1,8,0,5
123,-9,4,1845,26,3,1846,1,2,-9,-9,360,331,17,4,1,2,1,0,5
125,14,5,1958,24,10,1958,8,4,0,0,164,164,8,3,1,2,3,0,5
126,-9,1,1853,25,2,1853,4,3,0,0,56,26,7,3,0,2,1,0,5
127,3,3,1921,5,11,1921,6,1,0,0,248,248,14,4,0,4,1,0,5
128,11,1,1905,6,12,1905,4,1,0,0,330,330,14,4,0,5,1,0,5
129,18,9,1931,31,5,1933,1,2,6,-9,622,622,20,5,1,1,1,0,5
131,14,9,1899,-9,4,1900,4,1,0,0,229,200,10,3,1,1,2,0,5
133,11,1,1923,15,1,1923,6,1,-9,-9,5,5,17,4,1,1,3,0,5
134,20,3,1939,23,3,1939,4,3,0,0,4,4,14,4,0,1,1,0,5
135,31,10,1861,5,2,1867,2,2,6,-9,1924,1924,20,5,1,3,1,0,5
136,15,7,1913,23,11,1914,4,3,4,-9,497,497,17,4,1,1,1,0,5
137,4,5,1831,11,5,1831,5,3,0,0,8,8,7,3,0,1,1,0,5
139,-9,12,1934,2,2,1935,3,2,2,-9,64,34,17,4,1,1,1,0,5
141,7,6,1880,25,2,1881,4,1,0,0,264,264,10,3,1,7,1,0,5
142,18,7,1821,10,8,1821,5,3,0,0,24,24,15,4,1,1,1,0,5
144,9,7,1854,-9,10,1854,5,3,0,0,115,85,16,4,1,1,1,0,5
145,5,1,1927,28,3,1927,5,3,-9,-9,83,83,17,4,1,7,1,0,5
146,16,8,1827,-9,4,1828,1,2,6,-9,259,230,16,4,1,3,1,0,5
147,-9,1,1821,24,3,1821,1,2,2,-9,83,53,17,4,1,1,1,0,5
148,22,4,1959,1,8,1960,5,3,1,-9,468,468,17,4,1,1,1,0,5
149,18,11,1856,26,5,1857,6,1,0,0,190,190,10,3,1,1,1,0,5
151,2,5,1926,23,9,1926,4,2,0,0,145,145,14,4,0,1,1,0,5
152,-9,12,1896,14,6,1898,6,1,0,0,561,531,17,4,1,1,1,0,5
153,22,6,1833,10,7,1833,4,3,0,0,19,19,7,3,0,2,2,0,5
154,26,9,1850,29,11,1850,6,1,-9,-9,65,65,17,4,1,1,6,0,5
156,-9,2,1906,12,5,1906,3,3,0,0,101,74,14,4,1,1,1,0,5
157,7,7,1937,7,12,1941,9,2,6,-9,1615,1615,21,5,1,1,1,0,5
158,21,2,1921,9,9,1921,4,3,-9,-9,201,201,17,4,1,2,1,0,5
159,2,11,1903,25,1,1904,1,2,0,0,85,85,13,4,1,1,1,0,5
160,21,3,1838,9,3,1839,1,2,3,-9,354,354,16,4,1,1,1,0,5
164,31,5,1904,28,6,1904,7,1,0,0,29,29,7,3,0,3,1,0,5
165,2,11,1911,29,9,1912,1,2,-9,-9,333,333,17,4,1,1,1,0,5
166,16,4,1908,17,6,1908,5,3,0,0,63,63,16,4,0,1,1,0,5
167,10,3,1821,8,4,1821,1,2,-9,-9,30,30,17,4,1,1,1,0,5
169,1,9,1939,29,9,1939,1,2,-9,-9,29,29,16,4,1,1,1,0,5
172,7,1,1962,19,12,1962,5,3,-9,-9,347,347,16,4,1,1,2,0,5
173,22,7,1958,19,12,1958,5,3,-9,-9,151,151,17,4,1,2,2,0,5
174,7,3,1936,7,3,1936,4,3,0,0,1,1,7,3,1,1,2,0,5
175,18,2,1849,1,7,1849,1,2,6,-9,134,134,20,5,1,3,1,0,5
177,15,8,1922,11,7,1923,6,1,0,0,331,331,14,4,0,2,1,0,5
178,-9,4,1932,23,3,1935,5,3,-9,-9,1087,1058,17,4,1,1,1,0,5
179,8,10,1939,12,3,1940,1,2,6,-9,157,157,20,5,1,1,1,0,5
180,29,6,1903,15,9,1905,2,1,6,-9,810,810,20,5,1,1,2,0,5
182,8,1,1935,31,3,1936,3,3,-9,-9,449,449,17,4,1,2,1,0,5
183,11,5,1939,16,9,1939,1,1,6,-9,129,129,20,5,1,2,1,0,5
184,9,7,1938,11,8,1938,5,1,6,-9,34,34,20,5,1,1,1,0,5
185,17,10,1956,21,10,1956,2,1,0,0,5,5,16,4,1,1,1,0,5
186,12,7,1920,3,8,1920,5,3,0,0,23,23,1,2,0,1,1,0,5
187,31,10,1876,31,1,1878,1,1,6,-9,458,458,20,5,1,1,1,0,5
189,-9,11,1827,14,9,1829,1,1,6,-9,684,655,20,5,1,1,1,0,5
191,18,12,1888,16,3,1889,5,1,0,0,89,89,17,4,1,1,2,0,5
194,17,4,1863,20,7,1864,1,2,6,-9,461,461,20,5,1,7,2,0,5
196,4,2,1893,3,10,1893,1,2,6,-9,242,242,20,5,1,1,2,0,5
197,21,11,1917,1,4,1920,2,3,-9,-9,863,863,17,4,1,9,1,0,5
198,1,9,1848,11,9,1848,4,2,0,0,11,11,7,3,0,2,1,0,5
199,2,11,1961,26,12,1962,5,3,6,-9,420,420,20,5,1,1,1,0,5
200,1,9,1955,6,11,1956,2,2,6,-9,433,433,20,5,1,2,4,0,5
202,14,4,1883,9,6,1885,2,2,6,-9,788,788,20,5,1,1,1,0,5
203,23,6,1959,31,10,1961,5,3,-9,-9,862,862,17,4,1,1,1,0,5
207,-9,1,1858,8,6,1858,3,3,0,0,159,129,16,4,1,1,1,0,5
208,10,3,1953,31,3,1953,5,3,1,-9,22,22,16,4,1,2,2,0,5
210,28,7,1936,29,3,1939,1,2,6,-9,975,975,16,4,1,3,1,0,5
211,2,4,1920,16,7,1920,2,2,0,0,106,106,14,4,1,1,2,0,5
212,-9,2,1888,-9,3,1888,5,3,0,0,60,2,7,3,1,1,3,0,5
217,-9,8,1840,27,11,1840,5,3,0,0,119,89,7,3,0,1,4,0,5
220,25,7,1870,5,10,1870,4,3,0,0,73,73,10,3,1,3,1,0,5
224,4,11,1865,24,11,1865,4,3,0,0,21,21,7,3,0,3,1,0,5
225,7,11,1861,26,12,1861,7,1,0,0,50,50,15,4,1,1,1,0,5
227,13,3,1861,21,9,1861,3,3,2,-9,193,193,14,4,1,1,2,0,5
228,-9,3,1881,-9,8,1881,3,3,0,0,184,124,7,3,1,1,1,0,5
230,29,4,1919,13,3,1921,2,1,-9,-9,685,685,16,4,1,1,1,0,5
231,26,4,1849,25,5,1849,4,2,0,0,30,30,16,4,0,1,1,0,5
235,4,7,1940,7,7,1940,9,3,-9,-9,4,4,21,5,1,1,1,0,5
236,6,10,1849,13,11,1849,5,3,0,0,39,39,7,3,1,3,1,0,5
237,28,12,1899,15,1,1900,7,1,0,0,19,19,15,4,0,1,1,0,5
238,10,5,1913,14,5,1913,1,3,0,0,5,5,7,3,0,1,1,0,5
241,5,5,1923,11,6,1923,7,1,0,0,38,38,15,4,1,1,1,0,5
242,21,10,1904,5,11,1904,3,1,0,0,16,16,16,4,1,1,1,0,5
246,22,4,1960,26,4,1961,5,3,0,0,370,370,16,4,1,2,1,0,5
247,-9,1,1905,-9,1,1905,4,1,0,0,31,1,7,3,0,1,1,0,5
248,31,1,1932,13,2,1932,5,3,0,0,14,14,7,3,0,2,1,0,5
249,-9,5,1910,-9,5,1910,5,3,0,0,31,1,7,3,0,1,1,0,5
252,4,12,1945,4,10,1946,5,3,0,0,305,305,10,3,1,1,2,0,5
253,1,5,1960,18,7,1960,7,1,0,0,79,79,16,4,1,5,1,0,5
254,23,7,1902,19,2,1903,6,1,-9,-9,212,212,16,4,1,3,2,0,5
256,31,10,1873,10,11,1873,3,1,0,0,11,11,15,4,1,1,2,0,5
257,23,7,1914,11,11,1918,2,2,6,-9,1573,1573,20,5,1,4,11,0,5
258,25,3,1939,14,8,1945,1,2,6,-9,2335,2335,20,5,1,23,10,0,5
259,3,6,1956,6,9,1958,1,3,-9,-9,826,826,17,4,1,1,1,0,5
260,26,9,1914,25,5,1915,4,1,0,0,242,242,14,4,0,1,1,0,5
261,3,4,1865,26,7,1866,2,2,6,-9,480,480,20,5,1,8,3,0,5
262,5,9,1944,5,9,1944,1,1,0,0,1,1,18,4,0,1,1,0,5
301,-9,11,1835,-9,12,1835,3,1,0,0,61,2,8,3,1,1,1,0,5
304,20,4,1854,22,11,1854,5,3,0,0,217,217,7,3,1,1,1,0,5
306,17,9,1860,19,1,1861,8,4,0,0,125,125,7,3,0,1,1,0,5
307,6,5,1877,13,6,1878,4,1,0,0,404,404,7,3,1,1,1,0,5
309,25,3,1898,1,4,1898,4,1,0,0,8,8,7,3,0,1,1,0,5
310,-9,10,1905,-9,12,1905,5,3,0,0,92,32,7,3,0,1,1,0,5
311,2,4,1908,20,4,1908,4,1,0,0,19,19,7,3,0,1,1,0,5
312,-9,11,1910,28,12,1910,7,1,0,0,58,29,15,4,1,1,1,0,5
313,15,3,1910,14,10,1910,4,1,0,0,214,214,7,3,0,1,1,0,5
314,2,10,1911,15,10,1911,6,1,0,0,14,14,7,3,0,1,1,0,5
315,1,7,1911,11,10,1911,6,1,0,0,103,103,7,3,1,1,2,0,5
316,16,1,1912,27,1,1912,7,3,0,0,12,12,15,4,1,1,1,0,5
317,2,11,1912,31,3,1913,5,3,0,0,150,150,7,3,0,1,2,0,5
320,25,8,1914,23,5,1915,9,3,0,0,272,272,21,5,1,1,3,0,5
321,10,3,1916,5,2,1917,1,3,-9,-9,333,333,17,4,1,1,1,0,5
322,13,5,1916,29,11,1916,1,2,-9,-9,201,201,14,4,0,1,1,0,5
323,6,6,1916,27,6,1917,4,2,2,-9,387,387,17,4,1,2,1,0,5
324,7,3,1915,29,6,1917,9,3,-9,-9,846,846,21,5,1,3,1,0,5
327,16,3,1920,23,8,1920,5,3,0,0,161,161,14,4,0,3,1,0,5
328,16,9,1922,24,7,1923,6,1,0,0,312,312,14,4,0,3,1,0,5
336,30,8,1937,30,8,1937,5,3,0,0,1,1,16,4,0,1,1,0,5
337,14,12,1938,20,6,1940,4,3,0,0,555,555,15,4,0,1,2,0,5
339,2,4,1940,7,12,1941,9,3,0,0,615,615,21,5,1,1,1,0,5
343,2,10,1966,7,6,1968,5,3,1,-9,615,615,17,4,1,1,1,0,5
345,23,5,1967,19,6,1967,5,3,0,0,28,28,7,3,1,1,2,0,5
346,23,4,1968,12,11,1968,1,2,0,0,204,204,14,4,0,5,1,0,5
347,23,1,1968,22,12,1968,7,3,0,0,335,335,15,4,1,1,1,0,5
349,2,3,1969,13,12,1969,5,3,3,-9,287,287,17,4,1,1,1,0,5
350,14,2,1969,17,5,1969,7,3,0,0,93,93,15,4,0,1,1,0,5
352,1,1,1969,7,11,1969,5,3,-9,-9,311,311,17,4,1,1,1,0,5
353,6,10,1973,31,10,1973,5,1,0,0,26,26,8,3,1,2,3,0,5
354,1,9,1972,8,11,1973,1,1,1,-9,434,434,16,4,1,1,1,0,5
355,15,1,1974,20,1,1974,2,2,-9,-9,6,6,17,4,1,1,1,0,5
356,12,5,1975,15,5,1975,7,2,-9,-9,4,4,16,4,1,1,1,0,5
358,20,10,1975,20,10,1975,5,3,1,-9,1,1,17,4,1,1,1,0,5
360,-9,10,1975,29,11,1975,6,1,0,0,60,30,7,3,1,1,1,0,5
361,3,2,1976,3,2,1976,5,3,1,-9,1,1,17,4,1,1,1,0,5
362,19,6,1976,31,8,1976,5,3,1,-9,74,74,17,4,1,1,2,0,5
363,4,2,1976,11,2,1976,5,3,0,0,8,8,16,4,0,1,1,0,5
364,14,3,1974,14,9,1974,7,3,0,0,185,185,15,4,0,1,1,0,5
365,6,9,1976,-9,11,1976,5,3,0,0,86,57,15,4,1,1,1,0,5
366,27,8,1821,27,2,1822,5,3,0,0,185,185,7,3,0,1,1,0,5
367,20,7,1828,28,8,1828,4,2,0,0,40,40,14,4,0,1,1,0,5
368,15,9,1832,21,5,1833,2,2,-9,-9,249,249,17,4,1,2,3,0,5
370,28,8,1830,-9,9,1830,5,3,0,0,34,5,7,3,1,1,1,0,5
371,-9,1,1842,13,3,1842,5,3,0,0,72,42,1,2,0,2,1,0,5
373,-9,1,1846,8,6,1846,6,1,0,0,159,129,7,3,0,1,1,0,5
374,23,3,1848,9,8,1848,5,3,-9,-9,140,140,16,4,1,3,1,0,5
375,1,4,1848,10,7,1849,6,1,6,-9,466,466,20,5,1,4,4,0,5
377,-9,4,1852,-9,6,1852,4,3,0,0,91,33,7,3,0,1,1,0,5
378,24,3,1898,24,3,1898,5,3,0,0,1,1,1,2,0,1,1,0,5
379,24,3,1898,10,4,1898,1,2,0,0,18,18,17,4,0,1,1,0,5
380,10,5,1856,31,5,1856,5,3,0,0,22,22,16,4,1,1,1,0,5
381,19,11,1864,27,11,1864,6,1,0,0,9,9,7,3,0,1,1,0,5
391,6,9,1898,5,10,1898,4,3,0,0,30,30,16,4,0,4,1,0,5
394,13,9,1914,13,3,1915,1,2,-9,-9,182,182,14,4,0,1,1,0,5
395,-9,2,1916,10,3,1916,9,3,-9,-9,39,11,21,5,1,1,1,0,5
396,14,8,1916,27,8,1916,9,4,0,0,14,14,21,5,0,1,1,0,5
397,17,8,1914,14,10,1915,9,3,-9,-9,424,424,21,5,1,1,3,0,5
398,10,2,1915,21,7,1915,5,3,-9,-9,162,162,16,4,1,1,1,0,5
399,9,10,1916,17,4,1917,9,4,-9,-9,191,191,21,5,1,1,1,0,5
400,5,4,1917,11,11,1918,8,3,0,0,586,586,16,4,1,1,1,0,5
407,-9,9,1931,-9,9,1931,5,3,0,0,30,1,7,3,0,1,1,0,5
409,31,5,1937,1,9,1937,5,3,1,-9,104,104,17,4,1,1,1,0,5
410,23,9,1938,1,12,1938,4,3,0,0,70,70,7,3,0,1,1,0,5
414,10,4,1941,11,12,1941,9,3,3,-9,246,246,21,5,1,1,1,0,5
418,21,5,1940,25,10,1940,9,3,-9,-9,158,158,21,5,0,1,1,0,5
420,30,4,1941,23,5,1941,1,2,-9,-9,24,24,17,4,1,1,2,0,5
421,12,10,1941,-9,12,1941,5,3,0,0,81,51,16,4,0,1,1,0,5
501,5,2,1831,5,2,1831,4,1,0,0,1,1,4,2,0,1,1,0,5
502,12,2,1864,21,7,1864,6,1,0,0,161,161,7,3,0,1,2,0,5
503,23,9,1939,18,10,1939,4,1,0,0,26,26,14,4,0,1,1,0,5
504,-9,2,1940,15,6,1940,1,2,0,0,136,108,14,4,0,1,1,0,5
505,10,6,1940,17,6,1940,1,2,0,0,8,8,13,4,0,1,1,0,5
506,12,7,1881,-9,8,1881,5,3,0,0,51,21,7,3,0,1,1,0,5
507,25,4,1882,17,6,1882,5,3,0,0,54,54,7,3,1,1,1,0,5
508,9,7,1866,9,7,1866,5,3,0,0,1,1,1,2,0,1,1,0,5
509,5,8,1866,7,8,1866,5,3,0,0,3,3,1,2,0,1,1,0,5
510,2,4,1920,25,10,1922,3,3,0,0,937,937,16,4,0,1,1,0,5
511,24,2,1899,-9,4,1899,5,3,0,0,66,37,7,3,1,1,1,0,5
518,-9,3,1941,13,12,1941,9,3,-9,-9,288,258,21,5,1,1,3,0,5
521,22,7,1917,11,11,1918,8,3,0,0,478,478,18,4,0,1,2,0,5
522,8,5,1918,11,11,1918,8,3,0,0,188,188,18,4,0,1,2,0,5
523,16,8,1941,29,1,1942,1,2,-9,-9,167,167,16,4,1,2,1,0,5
602,12,11,1972,22,11,1972,7,1,0,0,11,11,15,4,0,1,1,0,5
603,2,8,1946,3,8,1946,5,3,0,0,2,2,7,3,1,1,2,0,5
604,-9,7,1949,9,9,1949,1,2,-9,-9,71,41,16,4,1,1,1,0,5
605,30,7,1956,12,12,1956,6,1,-9,-9,136,136,17,4,1,1,1,0,5
606,20,10,1956,14,11,1956,1,2,6,-9,26,26,20,5,1,1,1,0,5
607,13,4,1957,19,11,1957,5,3,2,-9,221,221,17,4,1,3,4,0,5
608,7,11,1958,23,6,1959,5,3,0,0,229,229,15,4,1,1,3,0,5
610,22,10,1962,30,6,1965,5,3,-9,-9,983,983,16,4,1,1,1,0,5
611,23,2,1964,30,4,1975,2,2,6,-9,4085,4085,20,5,1,8,3,0,5
612,27,2,1921,-9,5,1921,6,1,0,0,94,64,7,3,1,1,1,0,5
613,29,7,1940,22,1,1941,1,2,6,-9,178,178,20,5,1,1,1,0,5
614,23,2,1944,23,2,1944,8,3,0,0,1,1,18,4,0,1,1,0,5
616,1,11,1935,28,11,1935,5,3,-9,-9,28,28,17,4,1,1,1,0,5
617,4,2,1942,4,2,1942,4,3,0,0,1,1,7,3,0,1,1,0,5
619,15,11,1975,1,6,1976,1,1,0,0,200,200,16,4,1,1,1,0,5
620,5,1,1939,16,1,1939,5,3,0,0,12,12,1,2,0,1,2,0,5
621,16,1,1943,6,9,1945,8,3,0,0,965,965,18,4,0,1,3,0,5
622,9,9,1943,9,9,1943,8,3,0,0,1,1,18,4,0,1,2,0,5
623,7,4,1964,28,11,1966,5,3,3,-9,966,966,16,4,1,1,1,0,5
624,-9,4,1963,-9,4,1963,5,3,0,0,30,1,8,3,1,1,1,0,5
625,29,7,1922,29,7,1922,4,3,0,0,1,1,1,2,0,2,1,0,5
632,4,4,1917,11,11,1918,8,3,0,0,587,587,18,4,0,1,1,0,5
633,1,10,1949,7,8,1950,5,3,1,-9,311,311,16,4,1,2,1,0,5
634,1,10,1949,24,1,1950,7,3,0,0,116,116,15,4,0,1,1,0,5
1002,26,4,1963,3,6,1963,5,3,0,0,39,39,16,4,1,1,4,0,5
1006,20,4,1950,26,10,1956,5,3,3,-9,2382,2382,17,4,1,1,2,0,5
1013,12,1,1957,7,11,1957,5,3,0,0,300,300,16,4,0,1,1,0,5
1017,28,10,1965,28,10,1965,5,3,0,0,1,1,16,4,0,1,1,0,5
1018,14,6,1962,4,7,1962,5,3,1,-9,21,21,17,4,1,1,1,0,5
1019,25,8,1963,5,9,1965,5,3,1,-9,743,743,17,4,1,1,1,0,5
1021,15,4,1960,15,8,1962,4,1,2,-9,853,853,16,4,1,1,1,0,5
1023,16,8,1951,14,12,1951,5,3,0,0,121,121,15,4,0,1,1,0,5
1024,7,11,1957,27,2,1959,5,3,0,0,478,478,15,4,1,1,1,0,5
1025,-9,8,1927,-9,9,1927,5,3,0,0,61,2,7,3,1,1,1,0,5
1026,22,8,1928,13,5,1929,5,3,2,-9,265,265,17,4,1,1,1,0,5
1027,15,6,1931,-9,10,1935,5,3,6,-9,1600,1570,20,5,1,1,1,0,5
1028,3,10,1936,9,10,1936,5,3,1,-9,7,7,17,4,1,1,1,0,5
1029,-9,6,1938,21,7,1938,6,1,0,0,51,22,7,3,1,1,1,0,5
1035,16,12,1966,10,6,1967,2,2,6,-9,177,177,20,5,1,6,1,0,5
1039,11,6,1970,26,9,1970,5,3,3,-9,108,108,17,4,1,3,4,0,5
1042,-9,6,1948,-9,6,1948,8,4,-9,-9,30,1,17,4,1,1,1,0,5
1043,21,2,1973,21,2,1973,5,3,0,0,1,1,16,4,0,1,1,0,5
1046,18,10,1971,24,10,1973,5,1,6,-9,738,738,20,5,1,5,1,0,5
1051,12,5,1968,15,6,1968,5,3,-9,-9,35,35,16,4,1,1,1,0,5
1058,-9,9,1943,-9,9,1943,7,3,0,0,30,1,15,4,0,1,1,0,5
1061,12,4,1974,5,12,1975,5,3,-9,-9,603,603,17,4,1,1,2,0,5
1062,28,8,1953,20,12,1953,5,3,0,0,115,115,7,3,1,1,1,0,5
1063,-9,8,1908,23,12,1908,4,2,0,0,145,115,15,4,1,1,1,0,5
1066,17,12,1941,17,12,1941,7,3,0,0,1,1,15,4,0,1,1,0,5
1067,15,7,1967,7,8,1970,5,3,3,-9,1120,1120,17,4,1,1,1,0,5
1068,15,8,1970,14,10,1970,7,3,0,0,61,61,15,4,0,1,1,0,5
1069,23,7,1968,1,9,1968,7,1,0,0,41,41,15,4,0,1,1,0,5
1070,11,2,1963,14,11,1965,5,3,4,-9,1008,1008,17,4,1,1,3,0,5
1072,4,4,1968,13,12,1968,5,3,-9,-9,254,254,8,3,1,1,1,0,5
1073,7,8,1954,8,6,1955,5,3,0,0,306,306,8,3,1,1,1,0,5
1074,17,8,1961,19,12,1961,2,2,2,-9,125,125,17,4,1,1,1,0,5
1077,22,9,1947,10,11,1947,1,2,0,0,50,50,7,3,1,1,1,0,5
1079,13,3,1951,14,8,1951,5,3,1,-9,155,155,17,4,1,1,1,0,5
1081,20,7,1971,13,8,1971,5,3,-9,-9,25,25,17,4,1,1,1,0,5
1083,2,7,1962,19,10,1962,5,3,3,-9,110,110,17,4,1,1,1,0,5
1084,30,9,1963,4,11,1963,5,3,3,-9,36,36,17,4,1,1,1,0,5
1086,9,5,1909,23,3,1910,1,2,6,-9,319,319,20,5,1,1,1,0,5
1087,23,5,1911,30,12,1911,1,2,-9,-9,222,222,16,4,1,1,1,0,5
1091,1,2,1958,25,2,1958,5,3,0,0,25,25,15,4,1,1,1,0,5
1093,-9,5,1900,6,4,1902,6,1,-9,-9,706,676,17,4,1,1,1,0,5
1094,-9,11,1907,-9,11,1907,7,4,0,0,30,1,15,4,0,1,1,0,5
1095,-9,1,1912,18,2,1912,3,1,0,0,49,19,16,4,1,1,1,0,5
1097,-9,7,1952,-9,9,1952,3,3,0,0,92,33,14,4,0,1,1,0,5
1098,4,8,1955,-9,9,1955,3,3,0,0,58,29,14,4,0,1,1,0,5
1099,-9,4,1958,19,8,1958,5,3,0,0,141,112,16,4,1,1,1,0,5
1100,16,8,1959,29,9,1959,5,3,0,0,45,45,7,3,0,1,1,0,5
1101,24,3,1960,24,3,1960,5,3,0,0,1,1,12,3,0,1,1,0,5
1102,17,9,1963,17,9,1963,5,1,0,0,1,1,7,3,0,1,1,0,5
1104,6,5,1972,25,5,1972,5,3,-9,-9,20,20,16,4,1,1,1,0,5
1105,18,11,1973,18,11,1973,5,3,-9,-9,1,1,16,4,0,1,1,0,5
1106,-9,11,1975,11,3,1976,3,1,-9,-9,132,103,17,4,1,1,1,0,5
1107,25,10,1971,28,10,1972,6,1,-9,-9,370,370,16,4,1,1,1,0,5
1108,1,10,1962,22,12,1963,5,1,-9,-9,448,448,17,4,1,3,2,0,5
1109,1,5,1966,14,5,1967,5,3,-9,-9,379,379,16,4,0,2,1,0,5
1110,26,11,1969,12,12,1969,5,4,1,-9,17,17,16,4,1,1,1,0,5
1112,25,9,1949,-9,1,1950,5,1,0,0,129,99,12,3,0,1,1,0,5
1114,23,6,1959,24,7,1959,5,3,0,0,32,32,7,3,1,2,1,0,5
1115,8,5,1967,8,5,1967,5,3,1,-9,1,1,17,4,1,1,1,0,5
