dispnum,incidnum,stday,stmon,styear,endday,endmon,endyear,duration,tbi,fatality,fatalpre,action,hostlev,numa,version
4001,4001010,27,3,1995,27,3,1995,1,7,0,0,7,3,1,5
4001,4001021,29,1,1996,29,1,1996,1,24,0,0,8,3,1,5
4001,4001009,28,2,1995,28,2,1995,1,27,1,2,17,4,1,5
4001,4001016,6,10,1995,6,10,1995,1,93,-9,-9,17,4,1,5
4001,4001006,26,4,1994,26,4,1994,1,18,0,0,7,3,1,5
4001,4001024,23,9,1996,23,9,1996,1,0,0,0,15,4,1,5
4001,4001022,22,2,1996,22,2,1996,1,94,0,0,7,3,1,5
4001,4001020,21,1,1996,21,1,1996,1,8,0,0,7,3,1,5
4001,4001012,6,4,1995,6,4,1995,1,70,0,0,12,3,1,5
4001,4001011,3,4,1995,3,4,1995,1,3,0,0,7,3,1,5
4001,4001019,19,1,1996,19,1,1996,1,2,0,0,7,3,1,5
4001,4001003,29,3,1994,29,3,1994,1,6,0,0,7,3,1,5
4001,4001005,21,4,1994,21,4,1994,1,5,-9,-9,17,4,1,5
4001,4001015,10,7,1995,10,7,1995,1,88,-9,-9,17,4,1,5
4001,4001004,4,4,1994,4,4,1994,1,17,0,0,7,3,1,5
4001,4001008,17,10,1994,17,10,1994,1,134,0,0,7,3,1,5
4001,4001001,1,1,1994,1,1,1994,1,80,0,0,8,3,1,5
4001,4001025,23,9,1996,23,9,1996,1,-9,-9,-9,17,4,1,5
4002,4002003,20,2,1995,20,2,1995,1,9,0,0,7,3,1,5
4002,4002004,1,3,1995,1,3,1995,1,-9,0,0,16,4,1,5
4002,4002002,16,2,1995,16,2,1995,1,4,0,0,8,3,1,5
4002,4002001,8,2,1995,8,2,1995,1,8,0,0,7,3,1,5
4003,4003002,4,1,1996,4,1,1996,1,4,0,0,8,3,1,5
4003,4003003,8,1,1996,8,1,1996,1,-9,0,0,7,3,1,5
4003,4003001,3,1,1996,4,1,1996,2,1,0,0,11,3,1,5
4004,4004002,30,1,1996,30,1,1996,1,-9,0,0,11,3,1,5
4004,4004001,24,1,1996,30,1,1996,7,6,0,0,14,4,1,5
4005,4005001,25,6,1995,25,6,1995,1,-9,0,0,17,4,1,5
4006,4006001,20,5,1996,22,5,1996,3,-9,0,0,8,3,1,5
4007,4007037,29,4,1998,30,4,1998,2,21,-9,-9,17,4,1,5
4007,4007016,17,4,1995,17,4,1995,1,37,-9,-9,17,4,1,5
4007,4007007,18,10,1994,18,10,1994,1,49,0,0,16,4,1,5
4007,4007030,17,10,1996,17,10,1996,1,174,0,0,16,4,1,5
4007,4007005,29,9,1994,29,9,1994,1,6,0,0,16,4,1,5
4007,4007010,22,12,1994,29,12,1994,8,16,0,0,16,4,1,5
4007,4007011,7,1,1995,7,1,1995,1,10,0,0,8,3,1,5
4007,4007006,5,10,1994,5,10,1994,1,13,0,0,16,4,1,5
4007,4007033,2,9,1997,7,9,1997,6,25,-9,-9,17,4,1,5
4007,4007019,29,5,1995,29,5,1995,1,42,-9,-9,16,4,1,5
4007,4007039,28,5,1998,28,5,1998,1,26,0,0,8,3,1,5
4007,4007042,12,10,1998,6,12,1998,56,99,-9,-9,17,4,1,5
4007,4007025,11,2,1996,11,2,1996,1,6,-9,-9,17,4,1,5
4007,4007004,12,5,1994,12,5,1994,1,140,0,0,16,4,1,5
4007,4007044,30,3,1999,30,3,1999,1,40,-9,-9,17,4,1,5
4007,4007032,22,8,1997,26,8,1997,5,11,3,146,17,4,1,5
4007,4007040,23,6,1998,2,7,1998,10,24,-9,-9,17,4,1,5
4007,4007009,11,12,1994,11,12,1994,1,11,0,0,16,4,1,5
4007,4007021,15,8,1995,15,8,1995,1,1,0,0,16,4,1,5
4007,4007023,27,1,1996,30,1,1996,4,5,-9,-9,17,4,1,5
4007,4007043,19,1,1999,19,1,1999,1,70,-9,-9,17,4,1,5
4007,4007029,7,9,1996,7,9,1996,1,40,0,0,17,4,1,5
4007,4007035,10,1,1998,10,1,1998,1,14,0,0,16,4,1,5
4007,4007020,10,7,1995,10,7,1995,1,36,-9,-9,17,4,1,5
4007,4007003,10,1,1994,12,1,1994,3,122,0,0,17,4,1,5
4007,4007036,24,1,1998,24,1,1998,1,95,-9,-9,16,4,1,5
4007,4007034,27,9,1997,4,10,1997,8,105,2,56,17,4,1,5
4007,4007014,20,2,1995,20,2,1995,1,50,0,0,16,4,1,5
4007,4007045,9,5,1999,17,7,1999,70,-9,6,1108,20,5,1,5
4007,4007028,8,6,1996,30,6,1996,23,91,-9,-9,17,4,1,5
4007,4007041,17,7,1998,17,7,1998,1,87,-9,-9,16,4,1,5
4007,4007015,11,4,1995,11,4,1995,1,6,1,1,16,4,1,5
4007,4007017,24,5,1995,24,5,1995,1,3,0,0,16,4,1,5
4007,4007002,7,11,1993,7,11,1993,1,64,1,3,17,4,1,5
4007,4007013,29,1,1995,29,1,1995,1,22,-9,-9,17,4,1,5
4007,4007018,27,5,1995,27,5,1995,1,2,0,0,16,4,1,5
4007,4007022,16,8,1995,16,8,1995,1,164,0,0,16,4,1,5
4007,4007008,6,12,1994,12,12,1994,7,5,1,1,16,4,1,5
4007,4007026,17,2,1996,18,2,1996,2,5,0,0,16,4,1,5
4007,4007024,1,2,1996,1,2,1996,1,10,0,0,8,3,1,5
4007,4007001,17,9,1993,17,9,1993,1,51,1,3,17,4,1,5
4007,4007027,22,2,1996,22,2,1996,1,107,-9,-9,17,4,1,5
4007,4007038,20,5,1998,26,5,1998,7,8,-9,-9,17,4,1,5
4007,4007012,17,1,1995,23,1,1995,7,12,1,1,16,4,1,5
4007,4007031,9,4,1997,14,4,1997,6,135,-9,-9,17,4,1,5
4008,4008001,31,5,1995,31,5,1995,1,-9,1,2,17,4,1,5
4009,4009002,8,10,1995,8,10,1995,1,-9,0,0,12,3,1,5
4009,4009001,-9,10,1995,-9,10,1995,-9,-9,0,0,12,3,1,5
4009,4009003,-9,10,1995,-9,10,1995,-9,-9,0,0,15,4,1,5
4010,4010001,26,1,1993,20,2,1993,26,-9,0,0,11,3,1,5
4011,4011005,13,6,1995,13,6,1995,1,-9,0,0,11,3,1,5
4011,4011004,31,5,1995,31,5,1995,1,13,0,0,17,4,1,5
4011,4011003,29,5,1995,2,6,1995,5,2,0,0,15,4,1,5
4011,4011001,8,4,1995,8,4,1995,1,1,0,0,15,4,1,5
4011,4011002,9,4,1995,9,4,1995,1,50,0,0,17,4,1,5
4012,4012001,22,12,1995,22,12,1995,1,-9,0,0,1,2,1,5
4013,4013006,28,1,1995,28,1,1995,1,0,0,0,7,3,1,5
4013,4013011,27,3,1995,27,3,1995,1,43,1,-9,17,4,1,5
4013,4013001,9,1,1995,11,1,1995,3,0,0,0,17,4,1,5
4013,4013007,28,1,1995,28,1,1995,1,1,0,0,12,3,1,5
4013,4013012,9,5,1995,9,5,1995,1,-9,-9,-9,17,4,1,5
4013,4013002,9,1,1995,9,1,1995,1,14,0,0,15,4,1,5
4013,4013008,29,1,1995,31,1,1995,3,39,0,0,11,3,1,5
4013,4013009,9,3,1995,11,3,1995,3,13,1,4,17,4,1,5
4013,4013005,27,1,1995,27,1,1995,1,1,0,0,10,3,1,5
4013,4013004,26,1,1995,2,3,1995,36,1,4,-9,17,4,1,5
4013,4013010,22,3,1995,22,3,1995,1,5,0,0,17,4,1,5
4013,4013003,23,1,1995,23,1,1995,1,3,0,0,12,3,1,5
4014,4014001,15,10,1993,15,10,1993,1,1,0,0,12,3,1,5
4014,4014002,16,10,1993,16,10,1993,1,-9,0,0,11,3,1,5
4015,4015003,23,9,1995,23,9,1995,1,-9,0,0,11,3,1,5
4015,4015001,25,8,1995,25,8,1995,1,-9,0,0,12,3,1,5
4015,4015002,-9,9,1995,-9,9,1995,-9,-9,0,0,12,3,1,5
4016,4016010,11,9,1994,11,9,1994,1,3,0,0,1,2,1,5
4016,4016014,17,9,1994,17,9,1994,1,-9,0,0,1,2,1,5
4016,4016005,31,7,1994,31,7,1994,1,-9,0,0,1,2,1,5
4016,4016004,13,7,1994,-9,7,1994,-9,18,0,0,7,3,1,5
4016,4016009,10,9,1994,18,9,1994,9,1,0,0,7,3,1,5
4016,4016006,-9,8,1994,-9,8,1994,-9,-9,0,0,7,3,1,5
4016,4016012,15,9,1994,15,9,1994,1,0,0,0,1,2,1,5
4016,4016013,15,9,1994,15,9,1994,1,2,0,0,10,3,1,5
4016,4016007,-9,9,1994,-9,10,1994,-9,-9,0,0,7,3,1,5
4016,4016011,14,9,1994,14,9,1994,1,1,0,0,1,2,1,5
4016,4016002,29,5,1994,29,9,1994,124,-9,0,0,13,4,1,5
4016,4016003,-9,6,1994,-9,6,1994,-9,-9,0,0,7,3,1,5
4016,4016008,7,9,1994,12,9,1994,6,3,0,0,7,3,1,5
4016,4016001,18,10,1993,29,9,1994,347,223,0,0,13,4,6,5
4018,4018001,-9,1,1993,-9,4,1993,-9,-9,-9,-9,17,4,1,5
4019,4019001,-9,4,1995,-9,4,1995,-9,-9,0,0,16,4,1,5
4020,4020003,6,8,1995,6,8,1995,1,26,0,0,16,4,1,5
4020,4020001,10,1,1995,10,1,1995,1,112,0,0,16,4,1,5
4020,4020002,2,5,1995,2,5,1995,1,96,0,0,16,4,1,5
4020,4020004,1,9,1995,3,9,1995,3,6,0,0,7,3,1,5
4020,4020005,7,9,1995,7,9,1995,1,9,0,0,7,3,1,5
4020,4020006,16,9,1995,16,9,1995,1,-9,0,0,7,3,1,5
4021,4021002,8,3,1993,24,3,1993,17,0,0,0,8,3,1,5
4021,4021005,13,3,1993,13,3,1993,1,-9,0,0,8,3,1,5
4021,4021004,9,3,1993,18,3,1993,10,4,0,0,7,3,2,5
4021,4021001,3,3,1993,18,3,1993,16,5,0,0,7,3,2,5
4021,4021003,8,3,1993,24,3,1993,17,1,0,0,8,3,1,5
4022,4022060,22,6,1998,9,9,1998,80,0,0,0,8,3,2,5
4022,4022002,7,11,1993,7,11,1993,1,0,0,0,1,2,1,5
4022,4022033,-9,11,1995,-9,11,1995,-9,-9,0,0,11,3,1,5
4022,4022072,11,6,1999,11,6,1999,1,0,-9,-9,16,4,1,5
4022,4022054,9,9,1997,9,9,1997,1,0,1,1,16,4,1,5
4022,4022065,31,8,1998,31,8,1998,1,3,0,0,7,3,1,5
4022,4022013,30,4,1994,30,4,1994,1,21,0,0,8,3,2,5
4022,4022028,5,11,1993,9,11,1993,5,2,0,0,8,3,1,5
4022,4022069,18,12,1998,-9,12,1998,-9,170,0,0,8,3,2,5
4022,4022047,25,3,1997,25,3,1997,1,16,0,0,7,3,1,5
4022,4022064,12,7,1998,20,7,1998,9,50,0,0,8,3,1,5
4022,4022041,14,6,1996,14,6,1996,1,0,0,0,12,3,1,5
4022,4022075,15,6,1999,15,6,1999,1,80,2,-9,17,4,1,5
4022,4022011,26,3,1994,26,3,1994,1,23,0,0,1,2,1,5
4022,4022031,-9,5,1995,-9,5,1995,-9,-9,0,0,12,3,1,5
4022,4022068,18,12,1998,18,12,1998,1,0,-9,-9,17,4,1,5
4022,4022009,23,3,1994,23,3,1994,1,2,0,0,1,2,1,5
4022,4022074,11,6,1999,28,6,1999,18,4,0,0,8,3,1,5
4022,4022038,17,5,1996,17,5,1996,1,6,0,0,12,3,1,5
4022,4022037,5,4,1996,7,4,1996,3,42,0,0,7,3,1,5
4022,4022076,3,9,1999,3,9,1999,1,-9,0,0,1,2,1,5
4022,4022015,31,5,1994,17,6,1994,18,-9,0,0,8,3,1,5
4022,4022035,9,2,1996,19,2,1996,11,56,0,0,7,3,2,5
4022,4022019,9,6,1994,9,6,1994,1,1,0,0,4,2,1,5
4022,4022043,4,10,1996,4,10,1996,1,0,0,0,7,3,1,5
4022,4022026,19,4,1995,19,4,1995,1,4,0,0,12,3,1,5
4022,4022045,9,3,1997,9,3,1997,1,0,0,0,8,3,1,5
4022,4022040,23,5,1996,23,5,1996,1,22,0,0,7,3,1,5
4022,4022032,30,5,1995,30,5,1995,1,-9,0,0,16,4,1,5
4022,4022023,-9,9,1994,-9,10,1994,-9,-9,0,0,7,3,1,5
4022,4022051,-9,7,1997,-9,7,1997,-9,-9,0,0,11,3,1,5
4022,4022034,7,12,1995,-9,4,1996,-9,64,0,0,8,3,1,5
4022,4022039,23,5,1996,23,5,1996,1,0,0,0,12,3,1,5
4022,4022053,16,7,1997,-9,7,1997,-9,55,0,0,8,3,1,5
4022,4022067,3,9,1998,-9,9,1998,-9,106,0,0,7,3,3,5
4022,4022071,7,6,1999,-9,6,1999,-9,4,0,0,7,3,1,5
4022,4022036,5,4,1996,5,4,1996,1,0,0,0,8,3,1,5
4022,4022044,4,10,1996,4,10,1996,1,156,0,0,7,3,1,5
4022,4022022,8,7,1994,23,7,1994,16,-9,0,0,8,3,1,5
4022,4022046,9,3,1997,9,3,1997,1,16,0,0,12,3,1,5
4022,4022063,12,7,1998,12,7,1998,1,0,0,0,12,3,1,5
4022,4022048,10,4,1997,10,4,1997,1,0,0,0,7,3,1,5
4022,4022059,13,3,1998,13,3,1998,1,101,0,0,12,3,1,5
4022,4022073,11,6,1999,11,6,1999,1,0,0,0,1,2,1,5
4022,4022057,4,3,1998,4,3,1998,1,9,0,0,7,3,1,5
4022,4022050,5,6,1997,5,6,1997,1,-9,0,0,17,4,1,5
4022,4022061,22,6,1998,22,6,1998,1,-9,0,0,12,3,1,5
4022,4022070,6,6,1999,-9,6,1999,-9,1,0,0,12,3,1,5
4022,4022017,-9,6,1994,-9,6,1994,-9,-9,0,0,8,3,1,5
4022,4022001,5,11,1993,9,11,1993,5,2,0,0,8,3,1,5
4022,4022016,-9,6,1994,-9,6,1994,-9,-9,0,0,8,3,2,5
4022,4022066,3,9,1998,-9,9,1998,-9,0,0,0,8,3,1,5
4022,4022010,25,3,1994,25,3,1994,1,1,0,0,8,3,1,5
4022,4022012,18,4,1994,18,4,1994,1,12,0,0,11,3,1,5
4022,4022007,22,3,1994,30,3,1994,9,1,0,0,8,3,1,5
4022,4022062,-9,7,1998,-9,7,1998,-9,-9,0,0,11,3,2,5
4022,4022006,-9,3,1994,-9,3,1994,-9,-9,0,0,4,2,1,5
4022,4022030,17,12,1994,17,12,1994,1,-9,1,1,16,4,1,5
4022,4022004,12,2,1994,12,2,1994,1,-9,0,0,4,2,1,5
4022,4022049,10,4,1997,10,4,1997,1,56,0,0,12,3,1,5
4022,4022020,10,6,1994,17,6,1994,8,1,0,0,7,3,5,5
4022,4022056,25,2,1998,25,2,1998,1,7,0,0,7,3,1,5
4022,4022052,16,7,1997,16,7,1997,1,0,-9,-9,17,4,1,5
4022,4022055,9,9,1997,9,9,1997,1,169,0,0,12,3,1,5
4022,4022018,6,6,1994,6,6,1994,1,3,0,0,11,3,2,5
4022,4022014,21,5,1994,23,5,1994,3,10,0,0,8,3,1,5
4022,4022027,23,4,1995,23,4,1995,1,-9,0,0,12,3,1,5
4022,4022021,11,6,1994,11,6,1994,1,27,0,0,1,2,1,5
4022,4022025,4,4,1995,4,4,1995,1,15,0,0,8,3,1,5
4022,4022024,2,11,1994,2,11,1994,1,153,0,0,7,3,1,5
4022,4022058,13,3,1998,13,3,1998,1,0,0,0,7,3,1,5
4022,4022029,-9,12,1994,-9,12,1994,-9,-9,0,0,11,3,1,5
4022,4022042,14,6,1996,14,6,1996,1,112,0,0,8,3,1,5
4023,4023001,-9,1,1993,-9,1,1993,-9,-9,0,0,8,3,1,5
4024,4024001,16,4,1994,28,4,1994,13,-9,0,0,7,3,1,5
4026,4026001,4,9,1996,6,9,1996,3,-9,0,0,7,3,1,5
4027,4027001,-9,1,1995,-9,1,1995,-9,-9,0,0,15,4,1,5
4027,4027005,13,5,1995,13,5,1995,1,-9,0,0,7,3,1,5
4027,4027004,13,5,1995,13,5,1995,1,0,0,0,7,3,1,5
4027,4027003,25,3,1995,25,3,1995,1,49,0,0,15,4,1,5
4027,4027002,22,2,1995,22,2,1995,1,31,0,0,7,3,1,5
4028,4028005,30,4,1997,-9,5,1997,-9,0,0,0,8,3,1,5
4028,4028006,30,4,1997,-9,5,1997,-9,27,0,0,7,3,1,5
4028,4028003,25,4,1997,-9,5,1997,-9,3,0,0,7,3,1,5
4028,4028008,-9,6,1997,-9,6,1997,-9,-9,0,0,7,3,1,5
4028,4028002,23,4,1997,-9,5,1997,-9,2,0,0,7,3,1,5
4028,4028009,20,6,1997,20,6,1997,1,-9,0,0,7,3,1,5
4028,4028007,27,5,1997,-9,5,1997,-9,-9,0,0,15,4,1,5
